arm,seed,best_epoch,stop_epoch,precision,recall,ap50,ap5095
real_only,42,58,150,0.8248440748440748,0.8613636363636363,0.852463427263779,0.37639538416802454
random,42,54,150,0.7523975588491718,0.85,0.8386436996954041,0.37542970332132086
diversity_quality,42,74,150,0.8305418719211823,0.8863636363636364,0.8904334926751272,0.38021321609535685
bootstrap_guard,42,72,150,0.8113113113113113,0.8613636363636363,0.8401741297264247,0.39652001852501406
real_only,3407,17,150,0.3970588235294118,0.8977272727272727,0.8420203419972789,0.4038663116241363
random,3407,83,150,0.8308270676691729,0.9090909090909092,0.899197217018999,0.4038347890523594
diversity_quality,3407,86,150,0.8432539682539683,0.8977272727272727,0.9040442729424998,0.40241761639427426
bootstrap_guard,3407,51,150,0.7998084291187739,0.8613636363636363,0.8359416891345886,0.4144997239859241
real_only,2026,66,150,0.8129699248120301,0.884090909090909,0.854653224735237,0.40905521035891657
random,2026,59,150,0.7666666666666666,0.884090909090909,0.8715674473448243,0.4053186254159563
diversity_quality,2026,61,150,0.8433433433433433,0.8977272727272727,0.8773517892329772,0.3969207962062157
bootstrap_guard,2026,108,150,0.8564814814814814,0.8977272727272727,0.889965083464868,0.3996936816120862
