image_id,open,short,mousebite,spur,spurious_copper,pinhole,total_instances
00041030,1,1,2,2,2,2,10
00041039,1,1,1,1,1,1,6
00041043,2,2,2,1,2,1,10
00041046,1,1,1,1,1,1,6
00041047,2,2,1,2,2,1,10
00041057,1,2,1,1,1,1,7
00041068,2,1,1,1,1,2,8
00041079,1,1,2,2,2,1,9
00041081,1,1,1,1,1,1,6
00041085,1,1,1,1,1,1,6
00041089,1,2,1,1,1,1,7
00041095,1,1,1,1,1,1,6
00041114,1,2,2,1,2,1,9
00041125,1,2,2,1,2,1,9
00041133,1,1,1,1,1,1,6
00041142,1,1,1,1,1,1,6
00041150,1,1,1,1,1,1,6
00041169,1,1,1,1,1,1,6
00041180,1,1,2,2,2,1,9
00041181,1,1,1,2,1,2,8
00041190,1,1,1,1,1,1,6
13000003,1,1,1,1,3,2,9
13000008,1,3,1,1,2,1,9
13000009,2,1,1,2,2,2,10
13000017,2,1,2,2,2,2,11
13000019,3,2,2,2,2,2,13
13000022,2,2,2,2,2,2,12
13000023,2,2,2,2,2,2,12
13000024,2,2,2,2,2,2,12
13000025,2,2,2,2,2,2,12
13000026,2,2,2,2,2,2,12
13000027,2,2,2,2,2,2,12
13000028,2,2,2,2,2,2,12
13000029,2,2,2,2,2,2,12
13000030,2,2,2,2,2,2,12
13000031,1,1,1,2,2,2,9
13000037,2,2,2,2,2,2,12
13000079,1,1,1,1,1,2,7
13000097,1,1,1,1,1,1,6
13000102,1,1,1,1,1,1,6
13000110,1,1,1,1,1,2,7
13000118,1,1,1,1,1,1,6
13000126,1,1,1,1,1,1,6
13000174,1,1,1,1,1,1,6
13000197,1,1,1,1,1,1,6
20085014,1,1,1,1,1,1,6
20085016,2,1,1,1,1,1,7
20085020,1,2,1,1,1,2,8
20085026,1,1,1,1,1,1,6
20085027,1,1,1,1,1,1,6
20085033,2,1,1,1,1,1,7
20085051,1,1,1,1,1,1,6
20085062,1,1,1,1,1,2,7
20085071,1,2,2,2,1,1,9
20085090,1,1,2,2,2,1,9
20085103,2,1,2,2,2,1,10
20085107,1,1,2,2,2,2,10
20085143,1,1,1,1,1,1,6
20085145,1,1,2,2,2,1,9
20085155,1,1,1,1,1,1,6
20085183,1,1,1,1,1,1,6
20085185,2,2,2,1,1,2,10
20085201,1,1,1,1,1,1,6
20085203,1,1,1,1,1,1,6
20085217,1,1,1,1,1,1,6
20085221,4,2,2,3,2,2,15
20085225,3,3,2,2,1,2,13
20085238,2,2,1,2,1,1,9
44000062,1,1,1,1,1,1,6
44000068,1,1,1,1,1,1,6
44000086,1,1,2,1,1,1,7
44000092,2,2,1,2,1,2,10
44000093,2,2,1,1,1,2,9
44000096,1,1,1,1,1,1,6
44000104,1,1,1,1,1,1,6
44000107,1,1,1,1,1,1,6
44000110,2,1,1,1,1,1,7
50600001,1,1,1,1,1,1,6
50600015,1,1,1,1,1,1,6
50600021,1,1,1,1,1,1,6
50600024,1,1,1,1,1,1,6
50600028,1,1,1,1,1,1,6
50600032,1,1,1,1,1,1,6
50600049,1,2,1,1,1,1,7
77000008,1,1,1,1,1,2,7
77000019,1,1,1,1,1,1,6
77000020,1,1,1,1,1,1,6
77000044,1,1,1,1,1,1,6
77000076,1,1,1,1,1,1,6
77000081,1,1,1,1,1,1,6
77000082,1,1,2,1,1,1,7
77000083,1,1,1,1,1,1,6
77000095,1,1,1,1,1,1,6
92000006,1,1,1,1,1,1,6
92000008,1,1,1,1,1,1,6
92000044,1,1,1,1,1,1,6
92000060,1,1,1,1,1,1,6
92000073,1,1,1,1,1,1,6
92000077,1,1,2,1,1,1,7
92000081,1,1,1,1,1,1,6
