method,seed,precision,recall,map50,map50_95,reused
real_only,42,0.9103378362335599,0.8648318145172889,0.9276145537719697,0.6715465632905974,True
random,42,0.8892168168632096,0.8399077906642581,0.8997515325848185,0.5992800112610482,True
diversity_quality,42,0.8958961074938037,0.8273798640013174,0.8980218378860796,0.5755920484933674,True
bootstrap_guard,42,0.9280348185997148,0.8624420504057065,0.9266352620868806,0.6398013145390513,True
real_only,3407,0.8824279086556533,0.8565397702189785,0.920642094171689,0.6421011971660909,False
random,3407,0.8976891192280855,0.8614916476734898,0.9125121874795233,0.6488378889385022,False
diversity_quality,3407,0.9108155132560479,0.8733410931754744,0.9257675109375884,0.647180291951975,False
bootstrap_guard,3407,0.9191269039815522,0.8785847554688163,0.9293778661622328,0.6550805468759346,False
real_only,2026,0.8848185954305808,0.8797067113831218,0.9219953364421712,0.6460364283746762,False
random,2026,0.9112634898274141,0.8459114081135817,0.9093307834192564,0.629772097317401,False
diversity_quality,2026,0.9045638363257201,0.8484863093974999,0.9138610207517223,0.6388862098739163,False
bootstrap_guard,2026,0.8855351427263738,0.8326689851768947,0.8978683639074992,0.6208395222376669,False
