method,seed,reused,precision,recall,map50,map50_95,best_epoch,stop_epoch,checkpoint_sha256
real_only,42,True,0.9092875062542078,0.8869252555032333,0.9367774994462459,0.7118473598585613,127,150,23e76d3b2b52a137db2c8288e962e4a2e7851755e2998dffb46b5bb50bd8fad9
random,42,True,0.9399324555337266,0.8912201983844308,0.9447339251531172,0.7373340797088753,130,150,67ed4ada376704a78480879b558d6c9d74faac0a2a3bebba42b6e3087c06d537
dq,42,True,0.9298329080691409,0.8831733496840003,0.9413042513985584,0.7237750522832407,52,92,743696315b1b66508e7653a6b6b52223a2a6694697664a7fffef802ceeca83b6
bg,42,True,0.9310197969367051,0.8926711501449421,0.9388968166133616,0.7221190001688899,95,135,f3a8277334860f284ad28b0ef67b2d1807bfa0389baf908c8cfbe3b9a5106714
real_only,3407,False,0.9263147010298655,0.8756386546353793,0.9363726284729664,0.7214160966508513,121,150,074c0253826aab8183caaefd80e85ceca8f168e56a60ee3827ab08d34b812034
random,3407,False,0.9283448259563104,0.8907664347319154,0.9425963632176062,0.7268291473600467,80,120,8abe4f7576481e9526a83615f425b2c109f4e2ab7e6ac35591c5a1fa0ea231bb
dq,3407,False,0.9247906246889928,0.902268409326648,0.9405366751491063,0.7199445938530951,74,114,f44b187c3fdad4416af560a62ee520d8e4c0b4584ae6b6989caf424677349afd
bg,3407,False,0.9366380396358602,0.8862929203008639,0.9409537383490889,0.7275458229077925,118,150,2ff8f392214df659c1aa6473b7cdee8e3e0e64efdb39b41cafcd918b0fafd4af
real_only,2026,False,0.9249027444303429,0.8859829389806929,0.9381446548096615,0.71228035755651,135,150,56f7535c55a62fd15b4bab83a082a416e1612f72e398a7d9f5d799b9f4b5cefe
random,2026,False,0.9239235732793633,0.8832538620255453,0.9336718617026039,0.7316369504462196,99,139,799f50a2c887cc14ff8c3a5ef343a79c266ae50173921ccef366c2f5f81fc6c8
dq,2026,False,0.9368762003175304,0.8826585925891726,0.9362047829926446,0.7295168873116904,99,139,ac41681557dfc8cc9a70fdb24a8a3afbcfc59055052ff1c3491c6e020d1ca002
bg,2026,False,0.9302772987378768,0.897232625799648,0.9427821174228371,0.7330765244104683,110,150,f2bbb94df31ff4e6689b2a0d3680250bd6713150af68bcaa0167df557b949112
