arm,seed,reused,best_epoch,stop_epoch,precision,recall,map50,map5095
real_only,42,True,150,150,0.8438409744346558,0.8025489226194795,0.7759395271387801,0.40157550773631306
random,42,True,77,117,0.8929760351277449,0.7894731109222128,0.8639691276764254,0.4261257580283093
dwbg,42,True,124,150,0.885219870019401,0.8427645629808136,0.8670180450567241,0.40876935109733725
bootstrap_guard,42,False,124,150,0.9120998031357838,0.918952130490492,0.8903556933787664,0.43950726709764815
real_only,3407,False,91,131,0.8947275353090235,0.8806077807873465,0.8792614466971933,0.43466004334184555
random,3407,False,111,150,0.9015442780819984,0.8613636363636363,0.857298803771763,0.43489040132118983
dwbg,3407,False,70,110,0.9137176214057858,0.9204545454545454,0.928534878678069,0.4179291411917633
bootstrap_guard,3407,False,111,150,0.9070327972948338,0.8565694292136284,0.8584557247884907,0.44193725743516266
real_only,2026,False,71,111,0.8840044170091572,0.85,0.8584096530113408,0.38329496292323356
random,2026,False,51,91,0.8822854026262101,0.8363636363636364,0.8375136931731986,0.4122646054624419
dwbg,2026,False,55,95,0.8641687278675081,0.8863636363636364,0.8748611761654133,0.4024844320181118
bootstrap_guard,2026,False,90,130,0.8932145397745357,0.8464970525488256,0.8749223577410493,0.440353077913865
