epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7865,2.33505,39.1486,0.74835,0.59201,0.41136,0.46173,0.13282,2.82313,3.78103,0.96013,0.000553118,0.000553118,0.000553118
2,76.2991,2.32921,7.4227,0.75427,0.54934,0.61536,0.47869,0.13521,2.59497,1.5795,0.91785,0.00110147,0.00110147,0.00110147
3,112.921,2.22018,3.63696,0.74031,0.69309,0.61658,0.6502,0.19863,2.68841,1.36876,0.97872,0.00164248,0.00164248,0.00164248
4,150.89,2.33195,2.56047,0.71618,0.53734,0.59091,0.48111,0.13182,2.71132,2.23921,0.94969,0.00163399,0.00163399,0.00163399
5,190.933,2.22387,1.88483,0.73195,0.64738,0.68968,0.60762,0.17505,2.72503,1.48606,0.96911,0.00162299,0.00162299,0.00162299
6,229.641,2.40535,2.15294,0.75835,0.31595,0.28409,0.17513,0.05141,3.21908,10.3694,1.25233,0.00161199,0.00161199,0.00161199
7,267.336,2.12224,1.64211,0.70739,0.59684,0.63934,0.63563,0.22694,2.62227,1.84794,0.93906,0.00160099,0.00160099,0.00160099
8,304.941,2.09995,1.35363,0.74366,0.64447,0.7,0.58995,0.15675,2.64946,1.43861,0.93475,0.00158998,0.00158998,0.00158998
9,341.357,2.09893,1.2166,0.73845,0.82042,0.70227,0.73423,0.20034,2.72396,1.62713,0.95864,0.00157898,0.00157898,0.00157898
10,378.042,1.99608,1.09565,0.72531,0.78412,0.69856,0.76624,0.31928,2.31736,1.33727,0.9073,0.00156798,0.00156798,0.00156798
11,415.024,2.07091,1.05646,0.72717,0.7616,0.70909,0.75467,0.31655,2.31409,1.21495,0.88454,0.00155698,0.00155698,0.00155698
12,450.011,1.98153,1.09801,0.72475,0.77363,0.77208,0.79326,0.31627,2.25542,1.23907,0.89804,0.00154598,0.00154598,0.00154598
13,487.99,1.97484,1.0543,0.72756,0.76359,0.7812,0.79748,0.33702,2.12262,1.19998,0.87624,0.00153497,0.00153497,0.00153497
14,530.038,1.98605,1.13449,0.7406,0.78039,0.70016,0.7598,0.28601,2.34683,1.38061,0.89289,0.00152397,0.00152397,0.00152397
15,566.134,1.86347,0.99587,0.7089,0.77152,0.70973,0.67811,0.2648,2.3441,1.28932,0.90176,0.00151297,0.00151297,0.00151297
16,603.427,1.83032,1.0059,0.71118,0.77361,0.68864,0.67211,0.2567,2.22667,1.35184,0.85154,0.00150197,0.00150197,0.00150197
17,640.405,1.91754,0.98265,0.70676,0.71681,0.70299,0.66474,0.23601,2.46008,1.34813,0.89459,0.00149096,0.00149096,0.00149096
18,678.127,1.93631,0.99761,0.68032,0.80302,0.74051,0.81421,0.30572,2.20134,1.32437,0.87891,0.00147996,0.00147996,0.00147996
19,715.123,2.0871,1.08159,0.76031,0.78722,0.54773,0.63716,0.22909,2.64019,1.38171,0.91476,0.00146896,0.00146896,0.00146896
20,751.829,1.85961,0.93793,0.68625,0.7328,0.7482,0.74827,0.29943,2.23465,1.40368,0.93584,0.00145796,0.00145796,0.00145796
21,789.235,1.9174,0.96636,0.70522,0.7676,0.64047,0.68901,0.26736,2.44879,1.40765,0.93589,0.00144696,0.00144696,0.00144696
22,826.27,1.94381,0.94941,0.68862,0.76926,0.59418,0.70405,0.29606,2.2816,1.39928,1.02053,0.00143595,0.00143595,0.00143595
23,861.291,1.90988,0.93678,0.69909,0.6788,0.73108,0.70779,0.32675,2.28123,1.28815,0.95175,0.00142495,0.00142495,0.00142495
24,898.148,1.9492,0.95046,0.73405,0.68984,0.79469,0.7751,0.30011,2.3464,1.30806,0.90926,0.00141395,0.00141395,0.00141395
25,925.299,1.70365,0.8434,0.65936,0.75013,0.74686,0.74796,0.33965,2.20229,1.30155,0.86862,0.00140295,0.00140295,0.00140295
26,961.494,1.76556,0.91951,0.68565,0.78922,0.75844,0.819,0.36048,2.0959,1.15273,0.86906,0.00139195,0.00139195,0.00139195
27,998.637,1.86951,0.95186,0.7014,0.70011,0.61136,0.71017,0.26999,2.20291,1.39589,0.87478,0.00138094,0.00138094,0.00138094
28,1036.51,1.81766,0.85843,0.70757,0.77349,0.71866,0.75656,0.3412,2.14648,1.21498,0.88169,0.00136994,0.00136994,0.00136994
29,1078.24,1.79932,0.92558,0.69,0.74511,0.74195,0.74616,0.36066,2.07003,1.23819,0.87276,0.00135894,0.00135894,0.00135894
30,1115.59,1.76457,0.91156,0.7168,0.70039,0.69941,0.73459,0.32876,2.09028,1.41984,0.87684,0.00134794,0.00134794,0.00134794
31,1154.33,1.65327,0.84403,0.6458,0.74614,0.77955,0.77955,0.31702,2.09922,1.32587,0.87451,0.00133693,0.00133693,0.00133693
32,1191.73,1.77802,0.82335,0.69893,0.82633,0.73763,0.79895,0.34833,2.13983,1.17386,0.86445,0.00132593,0.00132593,0.00132593
33,1228.9,1.76923,0.84394,0.71116,0.7626,0.74483,0.77148,0.33096,2.0531,1.30724,0.86645,0.00131493,0.00131493,0.00131493
34,1266.19,1.64415,0.79458,0.68201,0.76683,0.80578,0.77844,0.36373,2.0445,1.16077,0.87456,0.00130393,0.00130393,0.00130393
35,1304.48,1.72058,0.86068,0.6815,0.73773,0.79023,0.75725,0.34976,2.14295,1.137,0.87636,0.00129293,0.00129293,0.00129293
36,1339.38,1.67938,0.81829,0.69115,0.67909,0.66818,0.68848,0.29998,2.28296,1.35827,0.88693,0.00128192,0.00128192,0.00128192
37,1376.11,1.63094,0.79775,0.65743,0.76319,0.81482,0.79679,0.33993,2.0796,1.17454,0.87365,0.00127092,0.00127092,0.00127092
38,1413.45,1.80518,0.87077,0.70374,0.7559,0.77955,0.77222,0.33602,2.13135,1.18401,0.87107,0.00125992,0.00125992,0.00125992
39,1450.56,1.69152,0.83488,0.67813,0.71354,0.75485,0.72508,0.26142,2.30832,1.4,0.88878,0.00124892,0.00124892,0.00124892
40,1487.15,1.74604,0.91678,0.68501,0.72414,0.80757,0.75988,0.31858,2.10678,1.29789,0.87467,0.00123791,0.00123791,0.00123791
41,1523.21,1.63353,0.81883,0.66248,0.73849,0.79342,0.76781,0.34257,2.0988,1.32399,0.87966,0.00122691,0.00122691,0.00122691
42,1560.8,1.81676,0.89099,0.70306,0.73375,0.81364,0.78794,0.3602,2.17523,1.20478,0.88703,0.00121591,0.00121591,0.00121591
43,1598.07,1.74217,0.8026,0.69102,0.807,0.77849,0.78859,0.3951,2.07446,1.31319,0.87714,0.00120491,0.00120491,0.00120491
44,1635.49,1.7478,0.77766,0.72465,0.72362,0.8,0.74427,0.32889,2.11521,1.14509,0.8724,0.00119391,0.00119391,0.00119391
45,1672.49,1.60723,0.77084,0.69342,0.78121,0.80968,0.82869,0.33782,2.13526,1.20856,0.87181,0.0011829,0.0011829,0.0011829
46,1709.61,1.68742,0.78899,0.67407,0.82239,0.83636,0.82751,0.34881,2.15431,1.19274,0.87284,0.0011719,0.0011719,0.0011719
47,1746.49,1.63086,0.77878,0.65688,0.72291,0.84582,0.78477,0.34363,2.17121,1.20263,0.87082,0.0011609,0.0011609,0.0011609
48,1782.56,1.68185,0.87191,0.68588,0.78219,0.7697,0.78435,0.34136,2.14167,1.16299,0.87586,0.0011499,0.0011499,0.0011499
49,1813.66,1.73228,0.86517,0.71845,0.74738,0.811,0.80766,0.33548,2.23197,1.24753,0.87628,0.00113889,0.00113889,0.00113889
50,1856.03,1.66482,0.77856,0.68459,0.74044,0.82727,0.82267,0.34853,2.19116,1.17157,0.87616,0.00112789,0.00112789,0.00112789
51,1896.97,1.66178,0.8151,0.67582,0.77317,0.81136,0.8375,0.34156,2.26015,1.32399,0.8856,0.00111689,0.00111689,0.00111689
52,1933.15,1.41286,0.73564,0.59281,0.73145,0.82833,0.82317,0.34597,2.05663,1.18243,0.86845,0.00110589,0.00110589,0.00110589
53,1969.6,1.70714,0.79344,0.70673,0.83694,0.86629,0.84834,0.35732,1.92579,1.15266,0.85463,0.00109489,0.00109489,0.00109489
54,2007.36,1.72744,0.83877,0.69961,0.83925,0.86516,0.83797,0.39396,2.01245,1.12749,0.86224,0.00108388,0.00108388,0.00108388
55,2044.77,1.72591,0.8246,0.70948,0.73014,0.72625,0.73347,0.29806,2.21029,1.33768,0.87189,0.00107288,0.00107288,0.00107288
56,2085.11,1.74327,0.8188,0.6984,0.84888,0.80639,0.81716,0.36661,2.10378,1.19056,0.86837,0.00106188,0.00106188,0.00106188
