epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.0589,2.37254,76.5654,0.75688,0.37775,0.48182,0.37027,0.10575,2.69826,7.16326,0.98667,0.00055164,0.00055164,0.00055164
2,114.749,2.5281,17.4504,0.81516,0.00208,0.49545,0.01872,0.00768,2.63577,3.89256,0.96451,0.0011,0.0011,0.0011
3,139.594,2.32657,9.81176,0.77104,0.20921,0.19318,0.16504,0.04825,2.84684,3.72611,0.92821,0.00164102,0.00164102,0.00164102
4,164.165,2.33393,6.75609,0.76169,0.32243,0.08273,0.15705,0.04737,2.81951,137.203,1.0142,0.00163399,0.00163399,0.00163399
5,188.74,2.36233,3.97726,0.76493,0.26388,0.38182,0.16698,0.03345,3.07478,2.85603,0.97175,0.00162299,0.00162299,0.00162299
6,214.316,2.54572,2.93526,0.78129,0.46189,0.54881,0.54719,0.15822,2.86485,1.58373,0.97163,0.00161199,0.00161199,0.00161199
7,239.047,2.44388,2.27385,0.80217,0.65807,0.3,0.42358,0.13174,2.74756,2.35327,0.95254,0.00160099,0.00160099,0.00160099
8,263.416,2.32378,1.87946,0.79758,0.53859,0.55455,0.47032,0.12738,2.76749,1.53302,0.93869,0.00158998,0.00158998,0.00158998
9,290.083,2.39867,1.84671,0.78696,0.4701,0.7,0.55042,0.13145,2.85861,1.55874,0.97457,0.00157898,0.00157898,0.00157898
10,315.46,2.40647,1.55797,0.7802,0.52309,0.55909,0.54299,0.17778,2.52425,1.51845,0.91565,0.00156798,0.00156798,0.00156798
11,341.009,2.1245,1.63968,0.76409,0.57962,0.57602,0.55762,0.16683,2.6834,1.94741,0.93067,0.00155698,0.00155698,0.00155698
12,365.565,2.10947,1.34742,0.69982,0.68247,0.59318,0.70509,0.24798,2.40838,1.47844,0.90484,0.00154598,0.00154598,0.00154598
13,391.47,2.1806,1.35004,0.76952,0.60259,0.66558,0.61217,0.23216,2.28565,1.48842,0.89265,0.00153497,0.00153497,0.00153497
14,415.728,1.98767,1.16096,0.71928,0.71383,0.74852,0.7241,0.23054,2.42893,1.43032,0.90502,0.00152397,0.00152397,0.00152397
15,440.563,2.03071,1.21719,0.7665,0.75398,0.79551,0.77729,0.26963,2.37898,1.31907,0.90891,0.00151297,0.00151297,0.00151297
16,466.252,1.98916,1.07317,0.7445,0.72806,0.77239,0.78404,0.3096,2.32867,1.28694,0.92626,0.00150197,0.00150197,0.00150197
17,493.39,1.91191,1.13656,0.72493,0.73866,0.67553,0.64308,0.22764,2.45045,1.34852,0.92182,0.00149096,0.00149096,0.00149096
18,518.975,2.09013,1.15798,0.75499,0.71165,0.74414,0.716,0.25374,2.37248,1.3431,0.90701,0.00147996,0.00147996,0.00147996
19,543.905,1.89688,1.01251,0.71116,0.66249,0.76818,0.66881,0.23205,2.44079,1.40744,0.9022,0.00146896,0.00146896,0.00146896
20,569.902,1.84813,0.88538,0.71639,0.81135,0.72398,0.78194,0.32885,2.19667,1.29592,0.88865,0.00145796,0.00145796,0.00145796
21,594.613,1.94036,0.90342,0.70514,0.69262,0.79442,0.6964,0.21355,2.44642,1.26484,0.89592,0.00144696,0.00144696,0.00144696
22,620.784,1.86713,0.92516,0.72312,0.75958,0.77045,0.77553,0.28134,2.40036,1.34737,0.89401,0.00143595,0.00143595,0.00143595
23,641.854,1.92994,0.98768,0.71507,0.7036,0.76364,0.76627,0.30783,2.2937,1.18068,0.8993,0.00142495,0.00142495,0.00142495
24,654.67,2.001,1.06736,0.75793,0.77778,0.66898,0.71208,0.2535,2.39649,1.36693,0.88962,0.00141395,0.00141395,0.00141395
