epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4507,2.3358,38.4085,0.74426,0.51833,0.21136,0.37571,0.09523,2.99785,2.90972,1.03227,0.000553118,0.000553118,0.000553118
2,67.3883,2.37468,6.85898,0.77386,0.57045,0.53864,0.52082,0.16097,2.6653,1.59161,0.95533,0.00110147,0.00110147,0.00110147
3,107.141,2.22251,3.72493,0.71771,0.68341,0.53698,0.61426,0.16486,2.83926,2.01735,0.95516,0.00164248,0.00164248,0.00164248
4,145.033,2.38774,2.6602,0.73852,0.50385,0.61818,0.63423,0.20664,2.59709,1.48406,0.94105,0.00163399,0.00163399,0.00163399
5,183.52,2.21184,2.29154,0.7351,0.93101,0.375,0.74739,0.20555,2.53395,1.76262,0.91902,0.00162299,0.00162299,0.00162299
6,221.24,2.22498,1.7412,0.73693,0.69206,0.51601,0.63275,0.16817,2.90896,1.38924,0.97283,0.00161199,0.00161199,0.00161199
7,259.296,2.25518,1.55325,0.73881,0.77104,0.57519,0.7263,0.23833,2.4361,1.2345,0.89579,0.00160099,0.00160099,0.00160099
8,296.427,2.02491,1.22712,0.69435,0.71561,0.57723,0.64581,0.19301,2.61347,1.36998,0.91789,0.00158998,0.00158998,0.00158998
9,337.457,2.08242,1.32543,0.72126,0.63906,0.625,0.62196,0.21523,2.60324,1.46511,0.93393,0.00157898,0.00157898,0.00157898
10,374.44,2.18963,1.23249,0.72004,0.79099,0.72273,0.72355,0.23121,2.51089,1.2944,0.90161,0.00156798,0.00156798,0.00156798
11,411.66,2.15959,1.14612,0.73396,0.62947,0.71823,0.57273,0.17367,2.60523,1.43224,0.93258,0.00155698,0.00155698,0.00155698
12,449.455,2.1952,1.29103,0.74465,0.70578,0.73868,0.7601,0.27027,2.43294,1.30315,0.89871,0.00154598,0.00154598,0.00154598
13,487.386,1.99876,1.21325,0.72954,0.75804,0.66562,0.75926,0.28969,2.17441,1.61103,0.87419,0.00153497,0.00153497,0.00153497
14,525.398,2.05656,1.13137,0.74815,0.73814,0.73635,0.7003,0.26058,2.43634,1.29379,0.8948,0.00152397,0.00152397,0.00152397
15,561.433,1.92124,1.07156,0.68762,0.72331,0.73636,0.72046,0.29819,2.18774,1.36206,0.8862,0.00151297,0.00151297,0.00151297
