epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.154,2.28583,39.4966,0.73195,0.49309,0.59545,0.49161,0.18056,2.46274,3.20527,0.91973,0.000553118,0.000553118,0.000553118
2,184.529,2.21933,6.58502,0.73935,0.57611,0.5894,0.57193,0.16704,2.71035,1.79559,0.95782,0.00110147,0.00110147,0.00110147
3,221.418,2.18488,3.4215,0.75651,0.62709,0.4901,0.55874,0.168,2.75678,1.87204,0.97387,0.00164248,0.00164248,0.00164248
4,258.998,2.23828,2.24181,0.71529,0.51391,0.54545,0.51385,0.14742,2.70006,1.56215,0.92271,0.00163399,0.00163399,0.00163399
5,295.253,2.17503,1.59639,0.72795,0.66788,0.77563,0.69507,0.2376,2.53331,1.30868,0.922,0.00162299,0.00162299,0.00162299
6,331.531,2.13115,1.53268,0.72836,0.59397,0.67955,0.68254,0.1949,2.68322,1.30815,0.92697,0.00161199,0.00161199,0.00161199
7,368.398,2.08583,2.35713,0.7257,0.60845,0.6278,0.63415,0.19916,2.46949,3.98025,0.92328,0.00160099,0.00160099,0.00160099
8,404.716,1.90935,1.2839,0.70803,0.80159,0.70455,0.75611,0.28333,2.28184,1.34928,0.90912,0.00158998,0.00158998,0.00158998
9,442.087,1.90129,1.17908,0.71292,0.64368,0.73597,0.70968,0.28982,2.28951,1.33512,0.89935,0.00157898,0.00157898,0.00157898
10,479.329,2.08312,1.14992,0.74071,0.74429,0.78182,0.81758,0.28163,2.32217,1.35658,0.88996,0.00156798,0.00156798,0.00156798
11,516.783,1.84109,1.10614,0.70722,0.70521,0.65294,0.69529,0.27008,2.25071,1.34941,0.89542,0.00155698,0.00155698,0.00155698
12,556.596,1.94033,1.0551,0.73528,0.73925,0.77932,0.81568,0.35123,2.14872,1.25181,0.87509,0.00154598,0.00154598,0.00154598
13,593.614,1.93665,1.02169,0.72538,0.77607,0.69135,0.76903,0.33009,2.28486,1.77309,0.89567,0.00153497,0.00153497,0.00153497
14,631.676,2.03011,1.12639,0.76096,0.7799,0.7568,0.76496,0.33676,2.34468,1.2917,0.89581,0.00152397,0.00152397,0.00152397
15,668.529,1.81222,0.96373,0.68589,0.80218,0.74511,0.77722,0.29765,2.28642,1.28226,0.88869,0.00151297,0.00151297,0.00151297
16,705.429,1.86959,0.96449,0.71237,0.74459,0.80465,0.79207,0.3364,2.27408,1.22354,0.88424,0.00150197,0.00150197,0.00150197
17,741.805,1.87277,0.964,0.69323,0.74878,0.78524,0.78922,0.27875,2.2272,1.31509,0.88994,0.00149096,0.00149096,0.00149096
18,779.037,1.80402,0.9665,0.66877,0.78746,0.73087,0.81612,0.35242,2.12285,1.50863,0.87502,0.00147996,0.00147996,0.00147996
19,817.387,2.02595,1.06567,0.75359,0.82445,0.67045,0.78366,0.29817,2.30302,1.3426,0.88227,0.00146896,0.00146896,0.00146896
20,854.257,1.87338,0.96547,0.70191,0.73163,0.73636,0.76422,0.28729,2.27588,1.41205,0.88585,0.00145796,0.00145796,0.00145796
21,891.228,1.7787,0.94398,0.6927,0.72157,0.6961,0.7554,0.34827,2.18319,1.26794,0.87997,0.00144696,0.00144696,0.00144696
22,928.599,1.8691,0.95965,0.67589,0.74741,0.74545,0.78055,0.33666,2.03507,1.22442,0.862,0.00143595,0.00143595,0.00143595
23,965.539,1.91709,0.93192,0.71064,0.77873,0.81154,0.80568,0.3326,2.09585,1.12413,0.86854,0.00142495,0.00142495,0.00142495
