epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7813,2.57121,129.875,0.74921,0,0,0,0,2.86905,55.6402,0.87208,0.000549692,0.000549692,0.000549692
2,25.6964,2.86911,56.9769,0.8674,0.00294,0.15702,0.001,0.00033,3.12013,335.595,0.91787,0.00109806,0.00109806,0.00109806
3,39.0243,2.94417,27.109,0.81848,0,0,0,0,nan,nan,nan,0.0016391,0.0016391,0.0016391
4,51.6281,2.99844,20.5095,0.88166,0,0,0,0,nan,nan,nan,0.00163399,0.00163399,0.00163399
5,65.0176,3.12608,13.2888,0.94742,0,0,0,0,2.65998,9733.78,0.87612,0.00162299,0.00162299,0.00162299
6,77.1822,3.04504,7.79026,0.90672,0,0,0,0,2.89007,4.70727,0.89004,0.00161199,0.00161199,0.00161199
7,90.8841,3.0923,5.42755,0.8975,0.00039,0.03571,6e-05,1e-05,3.14973,4.44057,0.97984,0.00160099,0.00160099,0.00160099
8,103.794,3.03823,5.7013,0.88981,0.02857,0.06897,0.0242,0.0191,2.88402,12.9381,0.90142,0.00158998,0.00158998,0.00158998
9,116.179,2.93455,4.19108,0.8533,0.6163,0.25862,0.31632,0.10608,2.73479,3.60673,0.87519,0.00157898,0.00157898,0.00157898
10,129.014,2.88532,2.95036,0.81472,0.41798,0.38099,0.30689,0.06685,2.88719,2.36322,0.88056,0.00156798,0.00156798,0.00156798
11,140.889,2.89877,2.80357,0.85967,0.27201,0.36772,0.20335,0.04641,3.11867,2.068,0.93267,0.00155698,0.00155698,0.00155698
12,152.621,2.69524,2.43685,0.83069,0.46597,0.58436,0.37261,0.11777,2.59885,2.2235,0.85572,0.00154598,0.00154598,0.00154598
13,165.434,2.82174,2.13458,0.86953,0.47864,0.52243,0.38095,0.11024,2.5964,2.66925,0.84924,0.00153497,0.00153497,0.00153497
14,177.625,2.80539,1.79489,0.78594,0.30545,0.38601,0.42183,0.14387,2.47199,1.8689,0.84768,0.00152397,0.00152397,0.00152397
15,189.788,2.40356,1.77065,0.7781,0.34605,0.22722,0.18419,0.07474,2.13166,nan,1.00725,0.00151297,0.00151297,0.00151297
16,201.488,2.47291,1.94645,0.80846,0.39219,0.61638,0.36666,0.1206,2.64747,1.62139,0.89009,0.00150197,0.00150197,0.00150197
17,213.718,2.64534,1.75428,0.82204,0.55365,0.47537,0.40194,0.13191,2.63991,1.89318,0.9116,0.00149096,0.00149096,0.00149096
18,225.485,2.31557,1.70425,0.79175,0.45163,0.33559,0.33358,0.11387,2.6665,2.05363,0.886,0.00147996,0.00147996,0.00147996
19,237.918,2.47938,1.72609,0.83714,0.48655,0.50862,0.45062,0.17054,2.58295,1.8115,0.84823,0.00146896,0.00146896,0.00146896
20,251.716,2.49963,1.4587,0.80205,0.43887,0.68904,0.52444,0.2229,2.41558,1.58291,0.83805,0.00145796,0.00145796,0.00145796
21,264.436,2.23255,1.31084,0.78835,0.44824,0.68411,0.49912,0.1939,2.43553,1.34334,0.8458,0.00144696,0.00144696,0.00144696
22,276.603,2.34967,1.29781,0.77896,0.53771,0.62701,0.5311,0.21128,2.45899,1.38571,0.83811,0.00143595,0.00143595,0.00143595
23,289.222,2.32633,1.34511,0.74805,0.68603,0.62943,0.63504,0.24849,2.46303,1.38098,0.83054,0.00142495,0.00142495,0.00142495
24,301.654,2.33057,1.19029,0.75406,0.64433,0.59921,0.67787,0.25746,2.42272,1.35872,0.83139,0.00141395,0.00141395,0.00141395
