epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3646,2.61918,129.955,0.75343,0.00019,0.05172,4e-05,1e-05,3.32852,77.3718,1.03385,0.00054956,0.00054956,0.00054956
2,42.8619,2.58698,149.246,0.76548,4e-05,0.01724,2e-05,0,2.90345,33.716,0.92126,0.00109793,0.00109793,0.00109793
3,55.4961,2.84622,136.937,0.82821,0.00011,0.05172,1e-05,0,2.85526,3594.57,0.98649,0.00163897,0.00163897,0.00163897
4,69.8816,2.76697,63.9809,0.8205,0.13212,0.16512,0.07164,0.01346,3.53934,nan,1.00487,0.00163399,0.00163399,0.00163399
5,84.2098,2.91506,25.8364,0.84031,0,0,0,0,2.8437,33618,0.87415,0.00162299,0.00162299,0.00162299
6,96.776,2.94796,16.2927,0.87015,0,0,0,0,3.13474,28398.4,1.13445,0.00161199,0.00161199,0.00161199
7,109.088,2.94601,10.1117,0.86948,0,0,0,0,2.96551,683.957,0.96584,0.00160099,0.00160099,0.00160099
8,121.114,3.02511,6.98137,0.79725,7e-05,0.03448,1e-05,0,3.51957,369.997,1.01831,0.00158998,0.00158998,0.00158998
9,133.41,3.17518,5.07057,0.86983,0.00551,0.49867,0.01124,0.00404,3.09819,431.415,0.99888,0.00157898,0.00157898,0.00157898
10,145.832,3.1459,5.94022,0.89739,0.20746,0.46021,0.10053,0.03759,2.74893,249.463,0.95362,0.00156798,0.00156798,0.00156798
11,158.431,2.90009,4.84583,0.78809,0.11342,0.33554,0.05279,0.0143,3.08474,49.4674,1.00906,0.00155698,0.00155698,0.00155698
12,170.522,2.74713,2.84202,0.8646,0.13393,0.46799,0.12893,0.04736,2.52218,98.9184,0.90151,0.00154598,0.00154598,0.00154598
13,183.853,2.46693,2.46144,0.76658,0.26772,0.51989,0.33898,0.12488,2.51977,2.07399,0.91851,0.00153497,0.00153497,0.00153497
14,196.906,2.77208,2.2712,0.82499,0.2506,0.49867,0.25647,0.06195,2.9924,1.73049,0.94402,0.00152397,0.00152397,0.00152397
15,209.582,2.76211,2.00659,0.83789,0.38908,0.50862,0.39722,0.14355,2.45187,1.54614,0.92385,0.00151297,0.00151297,0.00151297
16,222.176,2.47004,1.8639,0.76038,0.24288,0.62599,0.39201,0.13703,2.59183,1.80168,0.90239,0.00150197,0.00150197,0.00150197
17,235.088,2.40359,1.61149,0.74301,0.46157,0.56034,0.50552,0.18652,2.40769,1.49365,0.89143,0.00149096,0.00149096,0.00149096
18,247.424,2.35,1.43617,0.72342,0.4865,0.6167,0.54197,0.19884,2.2186,1.44847,0.86985,0.00147996,0.00147996,0.00147996
19,259.999,2.21248,1.43932,0.68025,0.38059,0.47793,0.45323,0.14897,2.49576,1.56611,0.87068,0.00146896,0.00146896,0.00146896
20,272.183,2.46118,1.57872,0.76447,0.47777,0.58156,0.55117,0.2019,2.38563,1.46353,0.88155,0.00145796,0.00145796,0.00145796
21,287.567,2.44258,1.55886,0.77081,0.60086,0.62477,0.58718,0.22673,2.20299,1.47149,0.86286,0.00144696,0.00144696,0.00144696
22,300.208,2.16082,1.47889,0.73665,0.69907,0.64854,0.68061,0.26462,2.13369,1.39381,0.86186,0.00143595,0.00143595,0.00143595
23,313.358,2.36075,1.31256,0.75596,0.59704,0.54032,0.56265,0.21051,2.50065,1.40339,0.88577,0.00142495,0.00142495,0.00142495
24,325.86,2.37761,1.44433,0.73894,0.61072,0.58589,0.68911,0.26006,2.4894,1.50973,0.90907,0.00141395,0.00141395,0.00141395
25,338.242,2.41262,1.45321,0.80959,0.73667,0.60676,0.72177,0.28478,2.25668,1.45522,0.8786,0.00140295,0.00140295,0.00140295
26,351.056,2.39239,1.28515,0.75678,0.58724,0.71018,0.74605,0.26817,2.23545,1.35217,0.86422,0.00139195,0.00139195,0.00139195
27,363.623,2.5287,1.37326,0.79396,0.59225,0.59711,0.67739,0.23673,2.32895,1.44218,0.87392,0.00138094,0.00138094,0.00138094
28,375.814,2.22789,1.10088,0.76565,0.74581,0.80125,0.81075,0.32253,2.15812,1.15963,0.86211,0.00136994,0.00136994,0.00136994
29,388.887,2.12367,1.13808,0.71847,0.7502,0.82506,0.77495,0.28135,2.18102,1.11215,0.85798,0.00135894,0.00135894,0.00135894
30,400.95,2.14647,1.16681,0.68446,0.73556,0.79065,0.82993,0.35891,2.31267,1.21537,0.86313,0.00134794,0.00134794,0.00134794
31,414.211,2.23234,1.2739,0.74698,0.70214,0.80567,0.79203,0.3147,2.34263,1.21255,0.87146,0.00133693,0.00133693,0.00133693
32,426.32,2.21708,1.16536,0.7245,0.78556,0.74189,0.80832,0.30976,2.30487,1.11955,0.86205,0.00132593,0.00132593,0.00132593
33,438.499,2.17376,1.09589,0.76265,0.76278,0.82303,0.84664,0.33985,1.98506,1.09343,0.8447,0.00131493,0.00131493,0.00131493
34,450.91,2.04005,1.08569,0.73718,0.77377,0.84912,0.86324,0.34922,2.00496,1.0949,0.83737,0.00130393,0.00130393,0.00130393
35,463.086,2.04239,1.05629,0.69442,0.67054,0.79841,0.79153,0.31397,2.16178,1.14183,0.8302,0.00129293,0.00129293,0.00129293
36,475.552,2.41566,1.14312,0.76173,0.67319,0.72745,0.75002,0.27171,2.30964,1.19135,0.8446,0.00128192,0.00128192,0.00128192
37,487.487,2.07742,1.00834,0.73395,0.71366,0.78045,0.79588,0.31384,2.32226,1.08008,0.85393,0.00127092,0.00127092,0.00127092
38,500.253,2.33915,1.0889,0.78265,0.83859,0.82643,0.83719,0.35577,2.12715,0.98028,0.84229,0.00125992,0.00125992,0.00125992
39,512.578,2.31309,1.06084,0.74506,0.77592,0.81282,0.81006,0.3224,2.23971,1.05682,0.85277,0.00124892,0.00124892,0.00124892
40,524.905,2.29914,1.16473,0.79888,0.75869,0.81604,0.79564,0.3172,2.12556,1.05458,0.83763,0.00123791,0.00123791,0.00123791
