epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9468,2.18329,48.2936,0.70682,0.39536,0.325,0.25031,0.06798,2.82387,5.35708,0.97055,0.000552788,0.000552788,0.000552788
2,31.6364,2.13325,8.55199,0.68722,0.80622,0.1977,0.26219,0.08814,2.57548,2.86927,0.95039,0.00110114,0.00110114,0.00110114
3,48.0616,2.1509,4.24147,0.72921,0.7223,0.35,0.38006,0.09869,2.70244,2.32474,0.92697,0.00164215,0.00164215,0.00164215
4,63.9379,2.23578,2.77856,0.70551,0.47125,0.425,0.26727,0.07911,2.95335,3.64771,0.94493,0.00163399,0.00163399,0.00163399
5,79.4957,2.24494,2.04078,0.71855,0.49852,0.47229,0.52357,0.17078,2.60497,1.73558,0.93715,0.00162299,0.00162299,0.00162299
6,95.6454,2.12446,1.56674,0.71943,0.49205,0.55,0.41941,0.10997,3.03443,1.35489,0.97845,0.00161199,0.00161199,0.00161199
7,110.867,2.32251,1.62788,0.74056,0.26906,0.325,0.16989,0.04843,3.18464,1.81991,1.00632,0.00160099,0.00160099,0.00160099
8,126.723,2.04949,1.42947,0.69126,0.5329,0.6696,0.58043,0.1631,2.63062,1.67167,0.95865,0.00158998,0.00158998,0.00158998
9,142.579,2.05798,1.38872,0.73585,0.6646,0.525,0.54419,0.19668,2.48172,1.74663,0.95203,0.00157898,0.00157898,0.00157898
10,161.697,1.9851,1.21461,0.72715,0.48392,0.70306,0.59158,0.18341,2.28498,1.74241,0.9133,0.00156798,0.00156798,0.00156798
11,177.813,1.85867,1.00998,0.65843,0.65325,0.675,0.63656,0.21759,2.33435,1.29906,0.90183,0.00155698,0.00155698,0.00155698
12,194.485,1.99555,1.13519,0.69635,0.50469,0.575,0.4326,0.14232,2.54829,1.46994,0.90658,0.00154598,0.00154598,0.00154598
13,210.144,2.18036,1.26169,0.7283,0.45217,0.475,0.46368,0.15948,2.57658,1.52227,0.9278,0.00153497,0.00153497,0.00153497
14,225.972,2.11524,1.14274,0.72303,0.75393,0.43451,0.61078,0.1783,2.46764,1.98512,0.9026,0.00152397,0.00152397,0.00152397
15,242.213,1.95136,1.13805,0.73445,0.78107,0.55,0.67796,0.21635,2.31609,1.76688,0.89569,0.00151297,0.00151297,0.00151297
16,258.613,2.06943,1.20401,0.74226,0.58581,0.575,0.61737,0.20986,2.52589,1.63725,0.91307,0.00150197,0.00150197,0.00150197
17,274.421,1.91811,1.08778,0.69617,0.63713,0.5213,0.51377,0.17949,2.46965,1.60485,0.90043,0.00149096,0.00149096,0.00149096
18,290.408,1.82839,1.02056,0.68476,0.57387,0.63772,0.69135,0.23796,2.3396,1.54515,0.89392,0.00147996,0.00147996,0.00147996
19,306.869,1.94889,0.98537,0.71646,0.50016,0.65,0.55533,0.18209,2.58702,1.49171,0.91035,0.00146896,0.00146896,0.00146896
20,322.565,2.0098,0.95845,0.69991,0.55051,0.625,0.60291,0.18648,2.35962,1.59541,0.91362,0.00145796,0.00145796,0.00145796
21,338.285,1.80676,0.98475,0.66655,0.63488,0.58826,0.59147,0.2203,2.29455,1.53859,0.88195,0.00144696,0.00144696,0.00144696
22,353.967,1.97673,1.1065,0.70717,0.56575,0.6397,0.56764,0.18507,2.3296,1.46014,0.88886,0.00143595,0.00143595,0.00143595
23,369.914,1.91611,0.96703,0.7136,0.42369,0.73466,0.62765,0.20842,2.39636,1.44296,0.89403,0.00142495,0.00142495,0.00142495
24,385.41,1.81192,0.92981,0.68462,0.59635,0.80108,0.74979,0.26849,2.1372,1.27822,0.86757,0.00141395,0.00141395,0.00141395
25,401.58,1.92674,0.98562,0.68294,0.47302,0.62807,0.54847,0.17526,2.56958,1.75633,0.90507,0.00140295,0.00140295,0.00140295
26,417.438,1.87609,1.03383,0.6739,0.61084,0.68546,0.66406,0.24333,2.26845,1.37945,0.88191,0.00139195,0.00139195,0.00139195
27,433.432,1.80922,0.97108,0.68606,0.68993,0.71715,0.63486,0.20566,2.4735,1.50872,0.90151,0.00138094,0.00138094,0.00138094
28,451.021,1.86296,1.02126,0.68133,0.70194,0.675,0.6124,0.17574,2.49639,1.60553,0.90417,0.00136994,0.00136994,0.00136994
29,467.358,1.94901,1.00047,0.71062,0.64504,0.625,0.61296,0.21091,2.36661,1.49256,0.86935,0.00135894,0.00135894,0.00135894
30,484.752,1.84596,0.93234,0.68253,0.56166,0.65209,0.58294,0.20429,2.50804,1.55196,0.8988,0.00134794,0.00134794,0.00134794
31,502.031,1.76265,0.90276,0.68291,0.61412,0.74534,0.65069,0.24564,2.28831,1.54561,0.88768,0.00133693,0.00133693,0.00133693
32,518.123,1.74721,0.94681,0.68885,0.6573,0.675,0.67733,0.23159,2.34214,1.41474,0.9036,0.00132593,0.00132593,0.00132593
33,533.991,1.69278,0.89709,0.67062,0.50299,0.65608,0.61997,0.2298,2.25713,1.66492,0.88434,0.00131493,0.00131493,0.00131493
34,549.273,1.76751,0.92945,0.64225,0.66918,0.72921,0.6781,0.24722,2.23344,1.36429,0.87816,0.00130393,0.00130393,0.00130393
35,564.993,1.85676,0.92378,0.68666,0.67042,0.73023,0.67784,0.20306,2.45319,1.36944,0.90888,0.00129293,0.00129293,0.00129293
36,580.931,1.94211,0.95024,0.7229,0.66116,0.675,0.64103,0.23673,2.41971,1.53778,0.89205,0.00128192,0.00128192,0.00128192
37,596.928,1.76932,0.96465,0.66105,0.65339,0.675,0.70175,0.24535,2.42516,1.32379,0.88805,0.00127092,0.00127092,0.00127092
38,613.008,1.80338,0.95522,0.6923,0.5128,0.57547,0.67437,0.24238,2.35524,1.68321,0.88641,0.00125992,0.00125992,0.00125992
39,629.144,1.87348,0.93014,0.70284,0.74303,0.68404,0.70311,0.24726,2.1684,1.49315,0.88123,0.00124892,0.00124892,0.00124892
40,644.752,1.6498,0.84665,0.61911,0.53607,0.59631,0.5162,0.20145,2.24093,1.57601,0.87768,0.00123791,0.00123791,0.00123791
41,660.398,1.72004,0.85514,0.6844,0.55847,0.69401,0.58471,0.22624,2.19356,1.54674,0.87413,0.00122691,0.00122691,0.00122691
42,675.835,1.61577,0.8023,0.64996,0.68166,0.7,0.63619,0.2442,2.26696,1.57398,0.89315,0.00121591,0.00121591,0.00121591
43,690.718,1.83614,0.86899,0.67892,0.36252,0.46339,0.33566,0.13037,2.62799,1.88786,0.90836,0.00120491,0.00120491,0.00120491
44,706.613,1.84481,0.90138,0.69026,0.74565,0.74494,0.68912,0.23932,2.15833,1.43998,0.8623,0.00119391,0.00119391,0.00119391
45,721.776,1.79323,0.8713,0.6765,0.77483,0.72985,0.70577,0.25217,2.10368,1.49851,0.85979,0.0011829,0.0011829,0.0011829
46,737.486,1.71521,0.88316,0.68434,0.691,0.625,0.6591,0.2421,2.11978,1.40906,0.87255,0.0011719,0.0011719,0.0011719
47,753.461,1.69375,0.89237,0.66096,0.58899,0.625,0.65333,0.23872,2.27846,1.42456,0.87823,0.0011609,0.0011609,0.0011609
48,769.055,1.84128,0.84843,0.6969,0.74822,0.56887,0.64802,0.26285,2.24541,1.52231,0.88138,0.0011499,0.0011499,0.0011499
49,785.356,1.78862,0.82172,0.69736,0.5218,0.66995,0.55922,0.16928,2.55911,1.50091,0.91026,0.00113889,0.00113889,0.00113889
50,801.782,1.72868,0.7628,0.70566,0.69214,0.6359,0.6814,0.24298,2.27374,1.46178,0.89072,0.00112789,0.00112789,0.00112789
51,817.376,1.73451,0.80773,0.66635,0.70558,0.65,0.72697,0.26081,2.21259,1.38462,0.87701,0.00111689,0.00111689,0.00111689
52,833.453,1.61294,0.72252,0.66582,0.74084,0.725,0.71092,0.28862,2.17902,1.2672,0.87581,0.00110589,0.00110589,0.00110589
53,849.107,1.74342,0.85934,0.66259,0.73455,0.75,0.74928,0.30098,2.19886,1.28309,0.88468,0.00109489,0.00109489,0.00109489
54,864.908,1.72682,0.86734,0.68797,0.65659,0.67494,0.71962,0.29101,2.22709,1.41105,0.88577,0.00108388,0.00108388,0.00108388
55,880.537,1.73886,0.86515,0.70127,0.68772,0.69262,0.71944,0.2788,2.19013,1.35004,0.87743,0.00107288,0.00107288,0.00107288
56,896.77,1.67203,0.82568,0.68932,0.73603,0.74,0.69997,0.2598,2.2183,1.36251,0.87319,0.00106188,0.00106188,0.00106188
57,912.234,1.73167,0.80519,0.71196,0.77691,0.8,0.75457,0.33424,1.9937,1.2165,0.85555,0.00105088,0.00105088,0.00105088
58,927.482,1.72782,0.87082,0.68207,0.71353,0.66572,0.6904,0.27264,2.07983,1.453,0.86218,0.00103987,0.00103987,0.00103987
59,942.904,1.64105,0.8321,0.65127,0.80483,0.78322,0.80608,0.3307,2.0872,1.28267,0.86375,0.00102887,0.00102887,0.00102887
60,958.518,1.65823,0.82088,0.66615,0.63885,0.65756,0.65725,0.25978,2.30926,1.32725,0.87945,0.00101787,0.00101787,0.00101787
61,974.086,1.72901,0.80035,0.71029,0.76891,0.70891,0.69387,0.29175,2.22142,1.33093,0.88156,0.00100687,0.00100687,0.00100687
62,989.245,1.74501,0.80583,0.69626,0.67316,0.6548,0.61849,0.19405,2.37802,1.35226,0.88862,0.000995866,0.000995866,0.000995866
63,1004.54,1.76347,0.84343,0.7019,0.69898,0.70862,0.65108,0.23245,2.18362,1.41721,0.86906,0.000984864,0.000984864,0.000984864
64,1020.35,1.68892,0.76951,0.66888,0.70644,0.74685,0.70513,0.29887,2.04473,1.3087,0.85702,0.000973861,0.000973861,0.000973861
65,1036.6,1.65334,0.77493,0.66737,0.59405,0.675,0.59939,0.21826,2.31692,1.33299,0.87321,0.000962859,0.000962859,0.000962859
66,1053.27,1.69119,0.79062,0.67883,0.68555,0.7152,0.62775,0.24875,2.22524,1.298,0.87568,0.000951857,0.000951857,0.000951857
67,1068.9,1.64792,0.72448,0.64874,0.78027,0.74755,0.71194,0.25864,2.30354,1.35456,0.88024,0.000940855,0.000940855,0.000940855
68,1084.52,1.644,0.78538,0.67884,0.63073,0.69728,0.63447,0.25245,2.33039,1.39423,0.88019,0.000929853,0.000929853,0.000929853
69,1099.91,1.54061,0.7093,0.63658,0.67447,0.71498,0.61908,0.26646,2.19891,1.29175,0.87405,0.00091885,0.00091885,0.00091885
70,1115.67,1.71381,0.80557,0.69986,0.80786,0.75104,0.74415,0.31616,2.09013,1.25379,0.87281,0.000907848,0.000907848,0.000907848
71,1131.23,1.71981,0.82743,0.68466,0.73501,0.6,0.62954,0.23118,2.32355,1.50352,0.8846,0.000896846,0.000896846,0.000896846
72,1146.82,1.60431,0.73917,0.67593,0.71484,0.775,0.70292,0.27107,2.22765,1.28712,0.87698,0.000885844,0.000885844,0.000885844
73,1162.51,1.54128,0.67056,0.6527,0.69374,0.75,0.68452,0.27361,2.21274,1.32786,0.87978,0.000874842,0.000874842,0.000874842
74,1177.93,1.64587,0.72114,0.67829,0.73304,0.75,0.71059,0.25978,2.34972,1.38305,0.88807,0.000863839,0.000863839,0.000863839
75,1193.73,1.62145,0.69002,0.66118,0.70626,0.775,0.71926,0.24217,2.34633,1.37181,0.87904,0.000852837,0.000852837,0.000852837
76,1209.51,1.59956,0.72683,0.66178,0.65225,0.7,0.68668,0.25496,2.34094,1.39267,0.8802,0.000841835,0.000841835,0.000841835
77,1225.61,1.57208,0.76184,0.66333,0.79654,0.8,0.75813,0.28479,2.29282,1.21099,0.87844,0.000830833,0.000830833,0.000830833
78,1241.19,1.55857,0.73161,0.65069,0.72678,0.74172,0.64732,0.26362,2.33655,1.33265,0.89006,0.000819831,0.000819831,0.000819831
79,1256.15,1.67621,0.80074,0.69664,0.71724,0.75,0.69313,0.29007,2.20532,1.31302,0.86321,0.000808828,0.000808828,0.000808828
80,1272.11,1.64607,0.71737,0.67676,0.78021,0.775,0.74052,0.28988,2.10069,1.25433,0.86309,0.000797826,0.000797826,0.000797826
81,1288.03,1.60302,0.74087,0.6531,0.76121,0.725,0.70409,0.25592,2.19347,1.33586,0.87163,0.000786824,0.000786824,0.000786824
82,1303.21,1.73275,0.77627,0.73886,0.74521,0.7,0.6926,0.25472,2.33871,1.39204,0.88233,0.000775822,0.000775822,0.000775822
83,1318.92,1.48716,0.69405,0.65548,0.63362,0.6,0.59366,0.22652,2.39606,1.46763,0.89261,0.00076482,0.00076482,0.00076482
84,1334.65,1.68123,0.75739,0.7028,0.77874,0.58808,0.64006,0.25936,2.47851,1.37443,0.89712,0.000753817,0.000753817,0.000753817
85,1350.35,1.61359,0.76177,0.65927,0.62744,0.675,0.59336,0.20468,2.53586,1.37051,0.90864,0.000742815,0.000742815,0.000742815
86,1365.87,1.57761,0.67805,0.66439,0.72958,0.8,0.72978,0.29212,2.22154,1.25749,0.87428,0.000731813,0.000731813,0.000731813
87,1381.54,1.57158,0.79087,0.64651,0.72118,0.6596,0.62424,0.20799,2.44257,1.58681,0.88596,0.000720811,0.000720811,0.000720811
