epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3133,2.55948,103.748,0.80929,0.28424,0.16519,0.1301,0.02648,3.22333,18.359,1.00503,0.000550749,0.000550749,0.000550749
2,30.4497,2.39715,27.0824,0.77028,0.00311,0.25,0.05356,0.0279,2.73897,10.8111,0.94252,0.00109911,0.00109911,0.00109911
3,41.2792,2.35768,14.7183,0.77232,6e-05,0.025,3e-05,1e-05,2.72671,179.792,0.94168,0.00164014,0.00164014,0.00164014
4,55.3755,2.22777,11.4954,0.75027,0,0,0,0,3.25854,inf,1.00411,0.00163399,0.00163399,0.00163399
5,68.5274,2.4531,6.74619,0.79301,0.68388,0.15,0.13891,0.03585,3.02035,3.38484,0.98114,0.00162299,0.00162299,0.00162299
6,79.079,2.48065,4.74526,0.77786,0.76965,0.1,0.09566,0.03006,2.7136,4.2082,0.93691,0.00161199,0.00161199,0.00161199
7,88.9766,2.50545,3.95758,0.76852,0,0,0,0,2.15566,2.75533,0.73714,0.00160099,0.00160099,0.00160099
8,98.9292,2.45493,2.80781,0.80845,0.76396,0.35,0.27807,0.051,3.09169,2.67994,1.00869,0.00158998,0.00158998,0.00158998
9,111.332,2.1915,2.21084,0.73102,0.25258,0.5,0.33974,0.12055,2.59635,1.84069,0.92423,0.00157898,0.00157898,0.00157898
10,122.557,2.18731,1.82336,0.75213,0.78494,0.4,0.41645,0.1123,2.73276,1.70341,0.96896,0.00156798,0.00156798,0.00156798
11,133.885,2.50419,1.76044,0.79551,0.72944,0.425,0.40381,0.11127,2.76688,1.81555,0.95542,0.00155698,0.00155698,0.00155698
12,143.584,2.14481,1.32076,0.77342,0.32783,0.6,0.42803,0.14728,2.39445,1.64938,0.9089,0.00154598,0.00154598,0.00154598
