epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.543,2.03211,55.6003,0.64183,0.37448,0.575,0.39165,0.12331,2.59246,4.12407,0.92338,0.000552788,0.000552788,0.000552788
2,33.2796,2.11973,10.2106,0.67724,0.86104,0.225,0.24902,0.06117,2.85803,8.80428,0.97356,0.00110114,0.00110114,0.00110114
3,49.1489,2.30777,5.10008,0.72502,0.71753,0.25,0.21816,0.0537,3.0652,2.47148,1.02795,0.00164215,0.00164215,0.00164215
4,65.6604,2.40298,3.33756,0.75133,0.37572,0.625,0.42002,0.11499,2.69749,1.7919,0.94199,0.00163399,0.00163399,0.00163399
5,81.3028,2.2408,2.46169,0.72331,0.81158,0.375,0.42103,0.11408,2.77822,2.07874,0.92747,0.00162299,0.00162299,0.00162299
6,96.8155,2.04878,1.93751,0.67969,0.79103,0.34825,0.41305,0.12037,2.65636,1.70564,0.93685,0.00161199,0.00161199,0.00161199
7,112.76,2.17649,1.64071,0.71426,0.83,0.437,0.44067,0.10603,2.76654,2.12624,0.96528,0.00160099,0.00160099,0.00160099
8,128.506,1.96651,1.27591,0.69795,0.46613,0.675,0.52266,0.18113,2.46646,1.46722,0.92816,0.00158998,0.00158998,0.00158998
9,144.736,1.90672,1.17286,0.67055,0.44752,0.61072,0.44129,0.13659,2.78351,2.04731,0.95427,0.00157898,0.00157898,0.00157898
10,160.594,2.01113,1.1526,0.6996,0.41595,0.6,0.53254,0.16575,2.55778,1.61436,0.92263,0.00156798,0.00156798,0.00156798
11,176.376,1.8939,1.08473,0.64664,0.68717,0.5061,0.54146,0.15758,2.5682,1.59546,0.90755,0.00155698,0.00155698,0.00155698
12,192.63,2.08193,1.24264,0.71015,0.56978,0.7,0.57771,0.16562,2.64856,1.5954,0.91148,0.00154598,0.00154598,0.00154598
13,209.01,2.01743,1.12121,0.70349,0.57574,0.725,0.57911,0.16928,2.49768,1.44389,0.89876,0.00153497,0.00153497,0.00153497
14,224.713,1.92126,1.08932,0.68545,0.47034,0.75,0.68671,0.23786,2.29194,1.60286,0.899,0.00152397,0.00152397,0.00152397
15,241.162,1.9519,1.17038,0.67859,0.67996,0.67881,0.6679,0.22075,2.30019,1.71218,0.87998,0.00151297,0.00151297,0.00151297
16,257.485,2.14254,1.21361,0.74988,0.56246,0.73588,0.58685,0.18653,2.40833,1.5863,0.88625,0.00150197,0.00150197,0.00150197
17,273.225,1.95787,1.13525,0.67351,0.53686,0.6939,0.5607,0.16187,2.58265,1.68592,0.90722,0.00149096,0.00149096,0.00149096
18,289.566,1.86902,1.09043,0.65938,0.79556,0.325,0.51147,0.16629,2.47076,1.72191,0.88218,0.00147996,0.00147996,0.00147996
19,305.695,1.92859,1.08577,0.67674,0.67889,0.675,0.65006,0.23177,2.33929,1.59377,0.88303,0.00146896,0.00146896,0.00146896
20,321.452,2.02971,1.11296,0.69315,0.57231,0.67781,0.64275,0.20813,2.42433,1.62928,0.89761,0.00145796,0.00145796,0.00145796
21,337.483,1.88867,1.08747,0.66478,0.65669,0.8,0.6778,0.23378,2.24828,1.50175,0.87756,0.00144696,0.00144696,0.00144696
22,353.392,1.85397,0.98394,0.64506,0.53852,0.675,0.61471,0.23211,2.30647,1.53945,0.88202,0.00143595,0.00143595,0.00143595
23,369.932,1.87738,1.00374,0.69178,0.40387,0.625,0.53218,0.17564,2.33714,1.50693,0.88076,0.00142495,0.00142495,0.00142495
24,385.986,1.85233,1.00912,0.70307,0.59923,0.57629,0.53621,0.16864,2.43664,1.45477,0.89222,0.00141395,0.00141395,0.00141395
25,401.977,1.9463,1.01603,0.67363,0.38369,0.57254,0.38931,0.13451,2.41865,1.71454,0.91173,0.00140295,0.00140295,0.00140295
26,418.051,1.78234,0.9688,0.65166,0.68669,0.59508,0.62228,0.21954,2.44198,1.38198,0.91102,0.00139195,0.00139195,0.00139195
27,434.253,1.93911,1.0063,0.69848,0.54003,0.65965,0.58111,0.19005,2.37526,1.50064,0.89231,0.00138094,0.00138094,0.00138094
28,450.004,1.81124,1.02114,0.64416,0.44975,0.51262,0.36841,0.10088,2.81903,1.89407,0.92896,0.00136994,0.00136994,0.00136994
29,465.525,1.8884,1.03417,0.66701,0.54811,0.54128,0.52649,0.15361,2.43389,1.7863,0.89243,0.00135894,0.00135894,0.00135894
30,481.37,1.90292,0.96104,0.68165,0.57753,0.50778,0.45217,0.18547,2.40286,1.49814,0.88977,0.00134794,0.00134794,0.00134794
31,497.095,1.88681,1.01818,0.68438,0.42431,0.625,0.5655,0.18269,2.33978,1.63323,0.88659,0.00133693,0.00133693,0.00133693
32,512.72,1.93031,0.9555,0.68838,0.63551,0.55,0.58151,0.1933,2.25327,1.52286,0.88231,0.00132593,0.00132593,0.00132593
33,528.376,1.81295,0.91058,0.64297,0.56334,0.54136,0.4719,0.1705,2.53319,1.66175,0.90167,0.00131493,0.00131493,0.00131493
34,544.188,1.9271,1.03323,0.67476,0.43351,0.47784,0.47555,0.13979,2.48587,1.70573,0.89411,0.00130393,0.00130393,0.00130393
35,560.1,1.97462,0.98392,0.69899,0.67174,0.63088,0.59365,0.22326,2.27663,1.4502,0.8779,0.00129293,0.00129293,0.00129293
36,575.832,1.8755,0.98094,0.69088,0.49391,0.575,0.51706,0.18087,2.35995,1.71148,0.89509,0.00128192,0.00128192,0.00128192
37,591.394,1.87673,0.94544,0.66947,0.48743,0.525,0.40974,0.15592,2.41371,1.68916,0.8945,0.00127092,0.00127092,0.00127092
38,607.702,1.93008,0.97398,0.72367,0.5285,0.59315,0.44176,0.14424,2.52095,1.72995,0.89328,0.00125992,0.00125992,0.00125992
39,624.19,1.87937,0.936,0.68558,0.60367,0.66987,0.59666,0.21193,2.34602,1.60548,0.88096,0.00124892,0.00124892,0.00124892
40,640.118,1.78706,0.93969,0.64435,0.60119,0.68883,0.55442,0.19311,2.29439,1.5678,0.88497,0.00123791,0.00123791,0.00123791
41,656.349,1.89184,0.94653,0.68025,0.54267,0.47592,0.53139,0.19772,2.37664,1.70618,0.88971,0.00122691,0.00122691,0.00122691
42,671.956,1.67258,0.92577,0.62241,0.44386,0.625,0.52483,0.21731,2.20488,1.53478,0.87803,0.00121591,0.00121591,0.00121591
43,687.825,1.80005,0.93018,0.67705,0.48015,0.60146,0.53744,0.17228,2.48414,1.58153,0.89726,0.00120491,0.00120491,0.00120491
44,703.786,1.73464,0.86413,0.66263,0.5898,0.75,0.63603,0.25033,2.10494,1.4983,0.86802,0.00119391,0.00119391,0.00119391
45,720.043,1.86559,0.98894,0.69698,0.59814,0.69627,0.54107,0.17848,2.49499,1.56712,0.89812,0.0011829,0.0011829,0.0011829
46,736.212,1.85399,0.86618,0.69978,0.62193,0.74276,0.65283,0.25628,2.21443,1.53539,0.88673,0.0011719,0.0011719,0.0011719
