epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1407,2.62603,45.3801,0.89798,0.50028,0.2545,0.36916,0.10695,2.75253,5.89792,0.95154,0.000552802,0.000552802,0.000552802
2,57.0417,2.79173,7.93571,0.99162,0.57965,0.47376,0.43745,0.11889,3.01067,3.53977,0.97704,0.00110115,0.00110115,0.00110115
3,81.0735,2.5382,4.87776,0.86072,0.49807,0.63636,0.58134,0.14327,2.80131,2.54961,0.93177,0.00164217,0.00164217,0.00164217
4,106.376,2.73123,3.31776,0.89439,0.66717,0.3,0.50715,0.15855,2.80515,2.68686,0.94879,0.00163399,0.00163399,0.00163399
5,129.356,2.52488,3.22656,0.87441,0.6482,0.55846,0.62788,0.20042,2.84329,1.99798,0.94392,0.00162299,0.00162299,0.00162299
6,153.747,2.47846,1.74313,0.89418,0.56497,0.70192,0.69377,0.19411,2.88659,1.42046,0.96369,0.00161199,0.00161199,0.00161199
7,176.892,2.39367,1.71742,0.87758,0.47967,0.56364,0.54475,0.20139,2.5303,1.65425,0.89368,0.00160099,0.00160099,0.00160099
8,199.691,2.24669,1.62706,0.82407,0.65328,0.71625,0.70922,0.26591,2.47284,1.37521,0.90164,0.00158998,0.00158998,0.00158998
9,222.519,2.23225,1.40507,0.86483,0.75374,0.69018,0.73401,0.26137,2.46075,1.33677,0.90538,0.00157898,0.00157898,0.00157898
10,245.323,2.15465,1.42762,0.86041,0.74578,0.68978,0.72173,0.24117,2.49595,1.49747,0.89307,0.00156798,0.00156798,0.00156798
11,267.811,2.17156,1.22669,0.81699,0.76251,0.72217,0.79946,0.29629,2.3368,1.25382,0.88649,0.00155698,0.00155698,0.00155698
12,290.829,2.21926,1.29926,0.84962,0.66963,0.67273,0.63148,0.22705,2.59143,1.35856,0.9081,0.00154598,0.00154598,0.00154598
13,313.311,2.29324,1.34649,0.82633,0.63254,0.64587,0.58406,0.21024,2.49752,1.55088,0.89302,0.00153497,0.00153497,0.00153497
14,335.474,2.1649,1.13031,0.83515,0.63481,0.76357,0.70454,0.26785,2.32676,1.28578,0.88116,0.00152397,0.00152397,0.00152397
15,358.049,2.11495,1.24989,0.78649,0.78259,0.76039,0.82738,0.31491,2.31603,1.50313,0.86848,0.00151297,0.00151297,0.00151297
16,383.408,2.059,1.20015,0.86286,0.89557,0.69773,0.82454,0.34159,2.16066,1.36094,0.8733,0.00150197,0.00150197,0.00150197
17,411.523,2.38121,1.29984,0.86766,0.73782,0.66591,0.7437,0.30225,2.4809,1.27786,0.90036,0.00149096,0.00149096,0.00149096
18,433.851,2.15202,1.11253,0.82205,0.80828,0.78933,0.83586,0.3643,2.22851,1.16451,0.88326,0.00147996,0.00147996,0.00147996
19,457.094,2.23438,1.21825,0.83996,0.73978,0.76468,0.7635,0.29278,2.42878,1.27507,0.88336,0.00146896,0.00146896,0.00146896
20,479.431,2.18626,1.12311,0.8594,0.81513,0.71818,0.74516,0.34937,2.22377,1.2155,0.86873,0.00145796,0.00145796,0.00145796
21,501.786,1.99042,1.00672,0.76654,0.73291,0.70791,0.76382,0.26751,2.38778,1.34703,0.86316,0.00144696,0.00144696,0.00144696
22,524.671,2.01999,1.04032,0.81823,0.76844,0.79708,0.78331,0.34599,2.15209,1.16723,0.85765,0.00143595,0.00143595,0.00143595
23,547.636,1.98134,1.18353,0.81937,0.80062,0.72583,0.77829,0.32157,2.35112,1.33114,0.88607,0.00142495,0.00142495,0.00142495
24,570.046,2.14353,1.16804,0.84667,0.77675,0.79773,0.77011,0.34736,2.26014,1.2193,0.8765,0.00141395,0.00141395,0.00141395
25,592.575,2.0897,1.04535,0.80106,0.80793,0.68409,0.76904,0.27423,2.46512,1.37816,0.89037,0.00140295,0.00140295,0.00140295
26,615.966,1.95321,1.01465,0.79588,0.79562,0.78636,0.82124,0.32561,2.20373,1.29368,0.85632,0.00139195,0.00139195,0.00139195
27,638.849,2.02141,1.02856,0.78651,0.66466,0.58328,0.65153,0.24768,2.48101,1.39422,0.88659,0.00138094,0.00138094,0.00138094
28,665.002,1.98577,0.98655,0.7667,0.75966,0.7,0.76145,0.31719,2.22778,1.29247,0.85684,0.00136994,0.00136994,0.00136994
29,687.553,1.92426,1.06006,0.77721,0.67386,0.67187,0.70884,0.25513,2.46919,1.28165,0.87697,0.00135894,0.00135894,0.00135894
30,711.427,2.02495,1.07888,0.79574,0.70318,0.75708,0.74472,0.28605,2.30335,1.23688,0.87314,0.00134794,0.00134794,0.00134794
31,734.513,2.06652,1.03786,0.8195,0.81181,0.84625,0.81793,0.35602,2.18507,1.09637,0.86344,0.00133693,0.00133693,0.00133693
32,757.22,1.98433,1.02812,0.79628,0.85165,0.69917,0.78606,0.3268,2.21145,1.15484,0.86689,0.00132593,0.00132593,0.00132593
33,780.722,2.01535,0.976,0.80981,0.76183,0.80808,0.81617,0.34731,2.24369,1.18204,0.87034,0.00131493,0.00131493,0.00131493
34,803.551,1.98419,0.99081,0.77063,0.70553,0.75,0.74551,0.27173,2.48578,1.33843,0.87799,0.00130393,0.00130393,0.00130393
