epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4632,2.498,46.3131,0.76344,0.24341,0.26136,0.17593,0.0375,2.9721,6.96779,0.95123,0.000552802,0.000552802,0.000552802
2,46.2769,2.73277,8.44824,0.83672,0.04544,0.43864,0.04721,0.01587,2.76311,123.83,0.89612,0.00110115,0.00110115,0.00110115
3,66.4583,2.51524,4.55089,0.80336,0.60585,0.68636,0.5959,0.16286,2.77755,2.46158,0.9199,0.00164217,0.00164217,0.00164217
4,87.0705,2.48783,2.89217,0.74979,0.67466,0.59318,0.68801,0.22849,2.55682,1.99932,0.88708,0.00163399,0.00163399,0.00163399
5,108.836,2.56485,2.02878,0.80528,0.59916,0.51818,0.51866,0.12083,3.10672,2.13812,0.99903,0.00162299,0.00162299,0.00162299
6,131.273,2.64217,1.57633,0.82308,0.56524,0.78016,0.60737,0.2308,2.62135,1.38081,0.90957,0.00161199,0.00161199,0.00161199
7,153.174,2.6989,1.46953,0.80743,0.60693,0.72273,0.66819,0.22837,2.62936,1.3986,0.90326,0.00160099,0.00160099,0.00160099
8,173.365,2.39248,1.43734,0.75876,0.77319,0.72955,0.75338,0.26175,2.47264,1.68744,0.90821,0.00158998,0.00158998,0.00158998
9,197.851,2.28693,1.28797,0.80202,0.76307,0.82727,0.82184,0.31175,2.35371,1.15383,0.90532,0.00157898,0.00157898,0.00157898
10,220.968,2.17655,1.199,0.7458,0.73484,0.72045,0.71238,0.25483,2.43283,1.34122,0.88177,0.00156798,0.00156798,0.00156798
11,242.012,2.24308,1.18348,0.76675,0.68677,0.7861,0.71796,0.26859,2.45153,1.33177,0.89115,0.00155698,0.00155698,0.00155698
12,264.847,2.27361,1.18209,0.75148,0.64032,0.68182,0.66053,0.22654,2.66706,1.41593,0.90047,0.00154598,0.00154598,0.00154598
13,287.011,2.26114,1.06755,0.75008,0.82102,0.7892,0.76976,0.28149,2.35655,1.28609,0.88737,0.00153497,0.00153497,0.00153497
14,307.375,2.1074,0.99733,0.75724,0.73641,0.83288,0.76352,0.27933,2.29549,1.21524,0.88092,0.00152397,0.00152397,0.00152397
15,327.538,2.04829,1.00101,0.72322,0.82651,0.83864,0.79656,0.29689,2.24574,1.23091,0.87606,0.00151297,0.00151297,0.00151297
16,348.13,2.13731,1.10215,0.76496,0.80809,0.82254,0.805,0.29885,2.29122,1.28959,0.87412,0.00150197,0.00150197,0.00150197
17,368.906,2.42096,1.24168,0.79012,0.60763,0.59807,0.58551,0.22176,2.51045,1.31587,0.87873,0.00149096,0.00149096,0.00149096
18,388.849,2.2504,1.11383,0.7572,0.82849,0.82763,0.80121,0.34565,2.18711,1.28534,0.86814,0.00147996,0.00147996,0.00147996
19,409.397,2.11721,1.06352,0.75768,0.82125,0.78353,0.77109,0.30214,2.20017,1.25732,0.8636,0.00146896,0.00146896,0.00146896
20,429.707,2.17299,1.05921,0.75909,0.81433,0.80976,0.78391,0.29618,2.30455,1.28723,0.87295,0.00145796,0.00145796,0.00145796
21,450.117,2.07079,0.93049,0.72661,0.77314,0.81364,0.79632,0.32626,2.22084,1.21359,0.8697,0.00144696,0.00144696,0.00144696
22,470.641,2.07479,0.96807,0.73473,0.77755,0.80364,0.74841,0.31465,2.24394,1.26768,0.87339,0.00143595,0.00143595,0.00143595
23,491.539,2.05667,0.95174,0.73255,0.77452,0.80455,0.73563,0.30293,2.34054,1.24147,0.87284,0.00142495,0.00142495,0.00142495
24,514.666,2.27922,1.01842,0.77534,0.87006,0.825,0.81629,0.33445,2.28188,1.23355,0.87769,0.00141395,0.00141395,0.00141395
25,535.204,2.19321,0.97507,0.73574,0.73311,0.72787,0.68234,0.28254,2.43149,1.27356,0.88752,0.00140295,0.00140295,0.00140295
26,555.658,2.00209,1.00613,0.7261,0.83058,0.79452,0.77092,0.33011,2.34761,1.22661,0.87377,0.00139195,0.00139195,0.00139195
27,575.778,2.01804,0.91048,0.73254,0.80032,0.795,0.76702,0.32238,2.29344,1.15137,0.87624,0.00138094,0.00138094,0.00138094
28,596.107,1.94136,0.88362,0.70899,0.80199,0.78953,0.75024,0.29399,2.36853,1.29905,0.87834,0.00136994,0.00136994,0.00136994
29,616.321,1.91693,0.923,0.69922,0.81738,0.89773,0.82895,0.35749,2.18074,1.133,0.86702,0.00135894,0.00135894,0.00135894
30,638.243,2.07124,0.92785,0.73051,0.78383,0.80455,0.78147,0.36172,2.21509,1.22566,0.86986,0.00134794,0.00134794,0.00134794
31,659.432,2.06837,0.96407,0.74219,0.7696,0.83636,0.78829,0.34831,2.21511,1.08315,0.86,0.00133693,0.00133693,0.00133693
32,684.488,2.00731,0.978,0.73364,0.80206,0.825,0.78449,0.3469,2.20628,1.21818,0.87075,0.00132593,0.00132593,0.00132593
33,709.02,2.02452,0.8967,0.7483,0.77795,0.81306,0.75014,0.33076,2.13131,1.31542,0.85756,0.00131493,0.00131493,0.00131493
34,734.486,2.03245,0.88735,0.71045,0.70913,0.72846,0.65672,0.2724,2.33224,1.34923,0.87106,0.00130393,0.00130393,0.00130393
35,757.111,2.02968,0.89988,0.70632,0.81636,0.82647,0.82184,0.37175,2.12289,1.17363,0.8634,0.00129293,0.00129293,0.00129293
36,780.507,1.92662,0.80757,0.72666,0.83221,0.85646,0.82493,0.38448,2.1065,1.11465,0.86362,0.00128192,0.00128192,0.00128192
37,809.093,2.04174,0.85732,0.73813,0.80799,0.81955,0.81059,0.3438,2.27957,1.21365,0.8772,0.00127092,0.00127092,0.00127092
38,832.034,1.90706,0.82578,0.74788,0.81076,0.86307,0.84561,0.38015,2.07928,1.15859,0.86362,0.00125992,0.00125992,0.00125992
39,855.029,1.95136,0.82549,0.74659,0.81026,0.8209,0.79142,0.33417,2.28812,1.23403,0.86951,0.00124892,0.00124892,0.00124892
40,877.883,1.88184,0.84046,0.73041,0.82619,0.8536,0.82393,0.38164,2.25779,1.19013,0.86915,0.00123791,0.00123791,0.00123791
41,901.05,1.91905,0.90399,0.71888,0.77654,0.81565,0.7955,0.33832,2.28409,1.14801,0.87063,0.00122691,0.00122691,0.00122691
42,923.712,1.9005,0.88399,0.71624,0.78398,0.83409,0.79249,0.36582,2.17494,1.1282,0.8654,0.00121591,0.00121591,0.00121591
43,947.714,1.91082,0.85143,0.7122,0.80743,0.85774,0.787,0.32845,2.29481,1.17728,0.87618,0.00120491,0.00120491,0.00120491
44,973.697,1.81934,0.82171,0.69169,0.82354,0.83087,0.82609,0.33023,2.21109,1.15626,0.86706,0.00119391,0.00119391,0.00119391
45,996.248,1.90458,0.87758,0.71352,0.85265,0.86429,0.85586,0.36869,2.08285,1.2807,0.85077,0.0011829,0.0011829,0.0011829
46,1019.07,1.92501,0.83952,0.70776,0.81416,0.85423,0.81293,0.36221,2.16821,1.10951,0.86216,0.0011719,0.0011719,0.0011719
47,1042.13,1.99398,0.91072,0.69966,0.83399,0.8515,0.81885,0.32716,2.2892,1.17687,0.87842,0.0011609,0.0011609,0.0011609
48,1064.82,1.85911,0.80868,0.73242,0.85745,0.86136,0.82385,0.35914,2.13235,1.11604,0.85702,0.0011499,0.0011499,0.0011499
49,1092.93,1.82401,0.81432,0.70717,0.87995,0.84331,0.83544,0.38885,2.0149,1.1239,0.84997,0.00113889,0.00113889,0.00113889
50,1123.34,1.81329,0.73553,0.72012,0.80561,0.83636,0.76333,0.34511,2.0934,1.21793,0.86292,0.00112789,0.00112789,0.00112789
51,1147.66,1.89615,0.81035,0.73137,0.79071,0.77784,0.74825,0.35226,2.12719,1.18348,0.86399,0.00111689,0.00111689,0.00111689
52,1172.46,1.84618,0.84461,0.71415,0.81442,0.82837,0.79066,0.32241,2.21818,1.28853,0.86454,0.00110589,0.00110589,0.00110589
