epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1749,2.51892,42.6074,0.84182,0.3854,0.61716,0.43281,0.16386,2.4864,6.61656,0.92716,0.000552802,0.000552802,0.000552802
2,49.8959,2.62312,7.72672,0.89994,0.64624,0.53502,0.51502,0.15822,2.84002,3.31921,0.92858,0.00110115,0.00110115,0.00110115
3,73.5829,2.55549,4.44185,0.84152,0.7004,0.275,0.40152,0.0913,2.99583,3.60102,0.94044,0.00164217,0.00164217,0.00164217
4,97.6409,2.6014,2.88737,0.81998,0.44228,0.54588,0.39724,0.10603,2.79031,2.36149,0.97087,0.00163399,0.00163399,0.00163399
5,123.437,2.68772,2.83419,0.88361,0.48803,0.61364,0.57138,0.16019,2.82718,3.56362,0.93531,0.00162299,0.00162299,0.00162299
6,147.514,2.44754,1.7065,0.83877,0.81494,0.60909,0.68155,0.19438,2.70198,1.44067,0.9159,0.00161199,0.00161199,0.00161199
7,170.989,2.45806,1.42849,0.85166,0.52147,0.63409,0.5556,0.15882,2.72297,1.5854,0.9068,0.00160099,0.00160099,0.00160099
8,193.917,2.5163,1.52265,0.83961,0.70455,0.71864,0.68805,0.21775,2.49199,1.83127,0.89685,0.00158998,0.00158998,0.00158998
9,219.222,2.33185,1.45105,0.84135,0.73554,0.78204,0.75133,0.24855,2.57073,1.38122,0.89878,0.00157898,0.00157898,0.00157898
10,244.679,2.19845,1.36927,0.79381,0.58259,0.62232,0.57064,0.2057,2.57897,1.6379,0.89653,0.00156798,0.00156798,0.00156798
11,267.768,2.30236,1.26933,0.80756,0.66357,0.67666,0.63509,0.26324,2.39248,1.3411,0.88003,0.00155698,0.00155698,0.00155698
12,291.024,2.26812,1.22835,0.82341,0.56624,0.73636,0.62933,0.22938,2.46891,1.70841,0.9136,0.00154598,0.00154598,0.00154598
13,314.308,2.41524,1.23178,0.82785,0.68493,0.64318,0.69461,0.24567,2.4615,1.50276,0.88279,0.00153497,0.00153497,0.00153497
14,338.591,2.26076,1.19473,0.81922,0.72425,0.69376,0.66363,0.22642,2.58783,1.40361,0.90349,0.00152397,0.00152397,0.00152397
15,361.564,2.12544,1.16806,0.76242,0.70558,0.70443,0.75191,0.30242,2.25823,1.84827,0.86936,0.00151297,0.00151297,0.00151297
16,385.567,2.07979,1.1474,0.82523,0.72447,0.76992,0.72923,0.32198,2.19138,1.33003,0.86614,0.00150197,0.00150197,0.00150197
17,409.395,2.3015,1.12456,0.83849,0.75987,0.78726,0.79177,0.30554,2.30641,1.25671,0.86312,0.00149096,0.00149096,0.00149096
18,435.793,2.07773,1.05991,0.77455,0.76986,0.83513,0.77519,0.32539,2.39511,1.26373,0.88166,0.00147996,0.00147996,0.00147996
19,460.314,2.10089,1.04802,0.80473,0.80145,0.75682,0.78115,0.31179,2.3502,1.46616,0.86819,0.00146896,0.00146896,0.00146896
20,484.328,2.1114,1.08131,0.82951,0.81539,0.76591,0.78156,0.30109,2.41432,1.34349,0.86295,0.00145796,0.00145796,0.00145796
21,507.174,2.14428,1.03954,0.7705,0.78421,0.7,0.70254,0.26042,2.48265,1.31314,0.87609,0.00144696,0.00144696,0.00144696
22,530.18,2.19726,1.21125,0.80145,0.73963,0.75185,0.70997,0.24845,2.40141,1.48803,0.88229,0.00143595,0.00143595,0.00143595
23,553.533,1.9898,1.09827,0.77549,0.66089,0.73864,0.72913,0.34638,2.24332,1.28715,0.87525,0.00142495,0.00142495,0.00142495
24,577.194,2.14696,1.1088,0.81417,0.71288,0.78815,0.73579,0.30593,2.29961,1.30894,0.87436,0.00141395,0.00141395,0.00141395
25,599.782,2.02903,0.98727,0.76484,0.77029,0.76818,0.78305,0.32769,2.22577,1.26603,0.86978,0.00140295,0.00140295,0.00140295
26,622.498,2.02205,0.99708,0.77249,0.81234,0.82727,0.82887,0.3694,2.11715,1.23901,0.85963,0.00139195,0.00139195,0.00139195
27,648.62,1.98211,0.92758,0.77542,0.68115,0.70682,0.69944,0.31017,2.48074,1.30407,0.90709,0.00138094,0.00138094,0.00138094
28,671.319,1.96938,0.93711,0.74912,0.78116,0.82206,0.77275,0.2743,2.41315,1.28331,0.87501,0.00136994,0.00136994,0.00136994
29,694.068,2.05221,0.99375,0.74491,0.7559,0.70989,0.68641,0.26072,2.39415,1.35534,0.88273,0.00135894,0.00135894,0.00135894
30,717.298,2.07014,0.97753,0.77254,0.77331,0.72159,0.69993,0.28386,2.3233,1.40871,0.88279,0.00134794,0.00134794,0.00134794
31,740.483,2.1084,1.07391,0.78711,0.69241,0.70455,0.63969,0.24428,2.45566,1.32599,0.89002,0.00133693,0.00133693,0.00133693
32,763.926,2.00964,1.02835,0.78734,0.8283,0.83672,0.78208,0.32567,2.24687,1.256,0.87093,0.00132593,0.00132593,0.00132593
33,787.489,2.03716,0.99308,0.78157,0.66172,0.76136,0.68921,0.29081,2.30132,1.37458,0.8624,0.00131493,0.00131493,0.00131493
34,812.468,2.02279,0.96653,0.75067,0.74139,0.71818,0.67548,0.29355,2.29707,1.33686,0.87681,0.00130393,0.00130393,0.00130393
35,835.53,1.95558,0.91825,0.76048,0.756,0.76306,0.71986,0.35171,2.23061,1.23889,0.87477,0.00129293,0.00129293,0.00129293
36,863.747,1.9868,0.87986,0.77349,0.77941,0.7344,0.72371,0.32692,2.31124,1.34503,0.87406,0.00128192,0.00128192,0.00128192
37,886.839,2.04518,0.95998,0.76765,0.78039,0.77424,0.72124,0.31411,2.26368,1.24341,0.86768,0.00127092,0.00127092,0.00127092
38,913.262,1.94968,0.91483,0.80185,0.82866,0.85559,0.8063,0.33774,2.13424,1.17984,0.86996,0.00125992,0.00125992,0.00125992
39,939.879,1.99588,0.91989,0.78035,0.80358,0.84377,0.79181,0.32027,2.15011,1.18523,0.85895,0.00124892,0.00124892,0.00124892
40,967.179,1.86432,0.87555,0.76429,0.80247,0.82254,0.76015,0.33526,2.15525,1.24049,0.85643,0.00123791,0.00123791,0.00123791
41,989.231,1.8542,0.91397,0.75383,0.81972,0.85,0.77731,0.3647,2.15174,1.23816,0.85899,0.00122691,0.00122691,0.00122691
42,1009.76,1.92123,0.8832,0.74676,0.78263,0.825,0.75555,0.30739,2.25745,1.13238,0.87728,0.00121591,0.00121591,0.00121591
43,1030.06,1.91267,0.88431,0.75493,0.79492,0.79773,0.68994,0.2838,2.25329,1.30853,0.85996,0.00120491,0.00120491,0.00120491
44,1051.93,1.92554,0.91665,0.73042,0.84886,0.86054,0.79932,0.31427,2.21864,1.22454,0.86193,0.00119391,0.00119391,0.00119391
45,1074.64,1.85575,0.87724,0.76127,0.74012,0.81136,0.7009,0.30435,2.21158,1.23038,0.87237,0.0011829,0.0011829,0.0011829
46,1095.16,1.88743,0.85432,0.75131,0.7834,0.78578,0.73431,0.31906,2.22681,1.3142,0.86485,0.0011719,0.0011719,0.0011719
47,1116.09,1.94778,0.91315,0.76047,0.7853,0.81136,0.73835,0.3209,2.17433,1.28879,0.86101,0.0011609,0.0011609,0.0011609
