epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7349,2.63774,45.0278,0.90755,0.3166,0.58607,0.35563,0.10667,2.80326,9.22436,0.95136,0.000552802,0.000552802,0.000552802
2,65.0221,2.75982,7.94926,0.96114,0.27794,0.80455,0.43502,0.12548,2.75417,3.66176,0.91951,0.00110115,0.00110115,0.00110115
3,90.1573,2.49792,4.35076,0.85203,0.56122,0.60254,0.48517,0.13004,2.99558,3.07601,0.96885,0.00164217,0.00164217,0.00164217
4,114.14,2.5668,2.63133,0.86979,0.57149,0.61792,0.54636,0.19181,2.58303,1.71671,0.9182,0.00163399,0.00163399,0.00163399
5,137.674,2.5515,2.08083,0.93215,0.35198,0.73083,0.37285,0.10865,2.78004,2.80067,0.92648,0.00162299,0.00162299,0.00162299
6,161.234,2.3731,1.64898,0.86595,0.56798,0.74091,0.66549,0.22871,2.5646,1.40518,0.89925,0.00161199,0.00161199,0.00161199
7,185.318,2.46738,1.67918,0.87084,0.52914,0.73409,0.73565,0.23215,2.55447,1.76908,0.88104,0.00160099,0.00160099,0.00160099
8,209.262,2.30695,1.4923,0.82322,0.70089,0.67568,0.71578,0.1952,2.66428,1.53925,0.89659,0.00158998,0.00158998,0.00158998
9,232.636,2.32729,1.46179,0.86385,0.61596,0.7247,0.62571,0.21771,2.48345,1.35638,0.87223,0.00157898,0.00157898,0.00157898
10,256.439,2.23013,1.51711,0.8594,0.69665,0.77358,0.77059,0.28918,2.3614,1.5465,0.87312,0.00156798,0.00156798,0.00156798
11,283.377,2.11828,1.3262,0.81655,0.64989,0.64055,0.66254,0.22205,2.43042,1.54853,0.8863,0.00155698,0.00155698,0.00155698
12,308.748,2.15439,1.24043,0.82895,0.70139,0.74263,0.6787,0.20043,2.61409,1.48397,0.89574,0.00154598,0.00154598,0.00154598
13,337.962,2.53321,1.40155,0.85957,0.74299,0.59133,0.63671,0.19759,2.68116,1.58703,0.92394,0.00153497,0.00153497,0.00153497
14,363.039,2.40066,1.3803,0.89097,0.64026,0.65678,0.69881,0.24749,2.57937,1.51386,0.91224,0.00152397,0.00152397,0.00152397
15,388.699,2.22515,1.38971,0.80715,0.56176,0.65682,0.59022,0.2212,2.54803,1.55402,0.89211,0.00151297,0.00151297,0.00151297
16,413.353,2.23725,1.35133,0.88873,0.71439,0.70909,0.71863,0.24969,2.46188,1.40594,0.89937,0.00150197,0.00150197,0.00150197
17,436.948,2.40206,1.35416,0.85438,0.71463,0.83636,0.75786,0.28125,2.34818,1.25882,0.89394,0.00149096,0.00149096,0.00149096
18,460.679,2.21228,1.23265,0.84424,0.76219,0.725,0.76683,0.29176,2.501,1.49772,0.90781,0.00147996,0.00147996,0.00147996
19,484.664,2.20682,1.22373,0.84492,0.65619,0.71591,0.64687,0.2606,2.47931,1.32887,0.88801,0.00146896,0.00146896,0.00146896
20,509.624,2.2093,1.20373,0.86135,0.66285,0.62045,0.60379,0.23066,2.52063,1.51213,0.88555,0.00145796,0.00145796,0.00145796
