epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2504,2.67398,45.293,0.93497,0.05474,0.25,0.07297,0.01667,2.78331,9.62976,0.93105,0.000552802,0.000552802,0.000552802
2,49.7952,2.79033,7.99895,0.98902,0.31748,0.19353,0.13166,0.04766,2.91745,4.60111,0.96739,0.00110115,0.00110115,0.00110115
3,76.9671,2.64791,4.88266,0.90231,0.52029,0.50585,0.49074,0.12725,2.89261,2.76471,0.94844,0.00164217,0.00164217,0.00164217
4,106.87,2.74042,2.97176,0.94668,0.55197,0.62644,0.45144,0.14038,2.78637,1.9875,0.94888,0.00163399,0.00163399,0.00163399
5,134.388,2.80411,3.11512,0.9809,0.625,0.55724,0.63417,0.15952,2.85415,2.23791,0.95147,0.00162299,0.00162299,0.00162299
6,161.114,2.52835,1.79891,0.88186,0.59627,0.68911,0.64092,0.1929,2.80252,1.57488,0.93779,0.00161199,0.00161199,0.00161199
7,189.316,2.63881,2.0699,0.89304,0.56225,0.475,0.49567,0.16392,2.68569,2.3288,0.92662,0.00160099,0.00160099,0.00160099
8,218.561,2.41417,1.86322,0.86248,0.63336,0.69091,0.6816,0.23445,2.66609,1.65271,0.92881,0.00158998,0.00158998,0.00158998
9,241.965,2.44334,1.71266,0.89446,0.57151,0.6656,0.67318,0.19285,2.77918,1.71553,0.93607,0.00157898,0.00157898,0.00157898
10,261.911,2.37325,1.53187,0.8783,0.62028,0.68182,0.67379,0.23052,2.53947,1.39467,0.88402,0.00156798,0.00156798,0.00156798
11,281.814,2.38971,1.41486,0.87132,0.76875,0.7552,0.76684,0.27318,2.40237,1.28624,0.90223,0.00155698,0.00155698,0.00155698
12,301.963,2.2684,1.40511,0.86234,0.47573,0.61591,0.48986,0.14789,2.73707,1.74965,0.90487,0.00154598,0.00154598,0.00154598
13,321.926,2.32783,1.46392,0.84673,0.74807,0.79854,0.75858,0.29997,2.40031,1.22113,0.90553,0.00153497,0.00153497,0.00153497
14,342.436,2.23909,1.33344,0.85832,0.66972,0.75172,0.74534,0.26989,2.49687,1.32435,0.89369,0.00152397,0.00152397,0.00152397
15,362.27,2.24004,1.34841,0.83119,0.59162,0.76818,0.7122,0.27214,2.44112,1.48742,0.88577,0.00151297,0.00151297,0.00151297
16,382.602,2.12099,1.26324,0.88008,0.72056,0.74318,0.76802,0.3074,2.17292,1.25948,0.85922,0.00150197,0.00150197,0.00150197
17,403.228,2.44899,1.34207,0.87996,0.70521,0.70658,0.72979,0.24569,2.46819,1.32107,0.86457,0.00149096,0.00149096,0.00149096
18,423.037,2.17514,1.2452,0.83498,0.70852,0.75455,0.74916,0.23915,2.34355,1.42679,0.88257,0.00147996,0.00147996,0.00147996
19,442.707,2.27863,1.28209,0.85196,0.74784,0.69871,0.7396,0.26059,2.46141,1.44101,0.87855,0.00146896,0.00146896,0.00146896
20,462.33,2.20108,1.33243,0.87231,0.70922,0.79663,0.74397,0.27626,2.48511,1.4829,0.89264,0.00145796,0.00145796,0.00145796
21,481.968,2.13479,1.18806,0.80022,0.74207,0.77974,0.75883,0.27778,2.42292,1.30545,0.89913,0.00144696,0.00144696,0.00144696
22,501.454,2.20766,1.2039,0.84116,0.81496,0.79335,0.78815,0.26956,2.40292,1.27045,0.89187,0.00143595,0.00143595,0.00143595
