epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4799,2.61013,44.3118,0.93021,0.67606,0.375,0.24016,0.05581,2.85452,7.6173,0.95739,0.000552802,0.000552802,0.000552802
2,45.4227,2.78712,7.9728,0.9967,0.65374,0.06724,0.37371,0.10517,2.86432,3.98579,0.93968,0.00110115,0.00110115,0.00110115
3,68.0865,2.48192,5.47469,0.86322,0.46671,0.58864,0.5314,0.13421,2.82094,5.5512,0.99181,0.00164217,0.00164217,0.00164217
4,91.1253,2.47807,3.29439,0.86369,0.46907,0.3752,0.46729,0.14808,2.81354,2.15899,0.95304,0.00163399,0.00163399,0.00163399
5,114.237,2.50779,2.77982,0.91531,0.40474,0.45682,0.42178,0.11468,2.94513,2.07047,0.92512,0.00162299,0.00162299,0.00162299
6,136.307,2.39325,1.91774,0.87979,0.44854,0.69318,0.44529,0.16221,2.51092,2.59308,0.8976,0.00161199,0.00161199,0.00161199
7,158.813,2.44922,1.84448,0.88651,0.72489,0.54703,0.71795,0.25325,2.49472,1.69036,0.91259,0.00160099,0.00160099,0.00160099
8,181.226,2.28387,1.52266,0.85715,0.6569,0.69361,0.71617,0.25353,2.40667,1.38299,0.8966,0.00158998,0.00158998,0.00158998
9,203.85,2.37622,1.73882,0.89038,0.58644,0.59318,0.64089,0.23034,2.60534,1.64826,0.90501,0.00157898,0.00157898,0.00157898
10,225.869,2.21233,1.47388,0.86152,0.63354,0.64209,0.60161,0.1875,2.63195,1.56065,0.90625,0.00156798,0.00156798,0.00156798
11,247.882,2.34813,1.44012,0.85866,0.73012,0.69524,0.70779,0.26435,2.38745,1.43803,0.88381,0.00155698,0.00155698,0.00155698
12,270.434,2.21094,1.39241,0.83956,0.80057,0.69998,0.72259,0.25905,2.55358,1.61683,0.90906,0.00154598,0.00154598,0.00154598
13,292.624,2.2879,1.31957,0.84709,0.70319,0.6848,0.66281,0.24671,2.57557,1.3901,0.90714,0.00153497,0.00153497,0.00153497
14,314.728,2.09341,1.19702,0.83347,0.73319,0.5703,0.64131,0.22194,2.59545,1.40984,0.90684,0.00152397,0.00152397,0.00152397
15,337.022,2.1529,1.35638,0.79931,0.76715,0.66829,0.74883,0.29684,2.33509,1.53988,0.89168,0.00151297,0.00151297,0.00151297
16,359.696,2.16456,1.26114,0.87764,0.81191,0.7733,0.78236,0.29774,2.30841,1.22889,0.87574,0.00150197,0.00150197,0.00150197
17,382.925,2.4023,1.37144,0.85575,0.61737,0.6203,0.64311,0.20517,2.49034,1.38245,0.87517,0.00149096,0.00149096,0.00149096
18,405.019,2.1944,1.21279,0.8234,0.75799,0.68697,0.75535,0.22465,2.51081,1.34368,0.88872,0.00147996,0.00147996,0.00147996
19,427.197,2.26449,1.24475,0.84443,0.6505,0.74318,0.77775,0.32165,2.34586,1.39596,0.87332,0.00146896,0.00146896,0.00146896
20,449.794,2.1898,1.23393,0.87723,0.75075,0.68864,0.75105,0.29941,2.46633,1.4074,0.89733,0.00145796,0.00145796,0.00145796
21,472.264,2.10161,1.13045,0.80053,0.6514,0.57693,0.61427,0.25814,2.33907,1.35946,0.87557,0.00144696,0.00144696,0.00144696
22,494.551,2.12572,1.15885,0.83924,0.78972,0.72468,0.78032,0.32389,2.20601,1.23965,0.87529,0.00143595,0.00143595,0.00143595
23,516.256,2.00676,1.14867,0.81164,0.76988,0.78375,0.75701,0.28022,2.39689,1.31358,0.87696,0.00142495,0.00142495,0.00142495
24,537.554,2.20185,1.26088,0.87779,0.791,0.81136,0.81775,0.36343,2.21653,1.21749,0.87282,0.00141395,0.00141395,0.00141395
25,559.158,2.1115,1.10797,0.81432,0.66605,0.59773,0.67138,0.27202,2.40907,1.36595,0.88355,0.00140295,0.00140295,0.00140295
26,581.589,2.03948,1.1445,0.82219,0.82309,0.6943,0.7433,0.30497,2.35081,1.29497,0.88017,0.00139195,0.00139195,0.00139195
27,603.861,2.09659,1.06658,0.8046,0.7118,0.77045,0.79202,0.32778,2.35901,1.27256,0.87225,0.00138094,0.00138094,0.00138094
28,626.02,1.96508,1.05952,0.7797,0.74012,0.80813,0.74585,0.2967,2.287,1.31423,0.8768,0.00136994,0.00136994,0.00136994
29,647.901,1.90785,1.05652,0.77491,0.80162,0.74445,0.73821,0.31575,2.30809,1.22909,0.87105,0.00135894,0.00135894,0.00135894
30,669.949,1.98353,1.11327,0.78625,0.73915,0.76364,0.76024,0.31234,2.30038,1.24371,0.87688,0.00134794,0.00134794,0.00134794
31,692.211,1.96578,1.04238,0.80363,0.86723,0.75067,0.78023,0.32949,2.3784,1.15337,0.87883,0.00133693,0.00133693,0.00133693
32,714.441,2.03344,1.0779,0.80955,0.84056,0.75455,0.77136,0.3641,2.21303,1.27879,0.87124,0.00132593,0.00132593,0.00132593
33,736.346,1.98378,1.0127,0.80832,0.87074,0.83636,0.85268,0.34702,2.2083,1.19599,0.86643,0.00131493,0.00131493,0.00131493
34,756.289,1.95173,0.98399,0.77896,0.66511,0.75909,0.68179,0.27914,2.43809,1.33624,0.87809,0.00130393,0.00130393,0.00130393
35,776.098,1.93972,1.06415,0.77981,0.84961,0.78449,0.80088,0.35268,2.25804,1.20055,0.88461,0.00129293,0.00129293,0.00129293
36,798.409,1.97299,0.98393,0.79749,0.85863,0.65627,0.7613,0.27124,2.54039,1.38446,0.89488,0.00128192,0.00128192,0.00128192
37,821.106,2.12814,1.08925,0.79614,0.87836,0.72376,0.81998,0.31795,2.31459,1.22652,0.87044,0.00127092,0.00127092,0.00127092
38,843.449,1.92771,1.05772,0.81332,0.7899,0.825,0.80659,0.33723,2.21883,1.21174,0.87242,0.00125992,0.00125992,0.00125992
39,866.021,2.06071,1.04212,0.81553,0.64107,0.775,0.71126,0.26767,2.53214,1.37606,0.89024,0.00124892,0.00124892,0.00124892
40,888.369,1.8711,0.96619,0.78383,0.78633,0.775,0.80978,0.3776,2.15767,1.20983,0.85956,0.00123791,0.00123791,0.00123791
41,911.098,1.85732,1.04747,0.78141,0.81954,0.77757,0.83135,0.38963,2.0767,1.25329,0.85394,0.00122691,0.00122691,0.00122691
42,933.841,1.94698,0.95507,0.77941,0.79821,0.7269,0.77712,0.30945,2.41293,1.2143,0.87452,0.00121591,0.00121591,0.00121591
