epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4749,2.79066,73.7679,0.80433,0.45697,0.46504,0.41999,0.09291,3.0548,9.15444,1.06822,0.00055164,0.00055164,0.00055164
2,30.2787,2.7442,14.5686,0.81751,0.87113,0.07955,0.24677,0.0925,2.77714,5.69137,0.91532,0.0011,0.0011,0.0011
3,44.5346,2.67909,8.75319,0.79765,0.63262,0.25,0.24708,0.08203,2.75349,3.6755,0.93176,0.00164102,0.00164102,0.00164102
4,58.7964,2.72603,5.44776,0.80123,0.24398,0.675,0.30445,0.0852,3.14782,3.71352,1.00794,0.00163399,0.00163399,0.00163399
5,73.0252,2.7124,3.6733,0.77911,0.26117,0.52727,0.36453,0.09021,3.01254,2.377,0.97295,0.00162299,0.00162299,0.00162299
6,87.5318,2.81669,2.58831,0.80276,0.71123,0.56136,0.62296,0.21246,2.74541,1.89641,0.93676,0.00161199,0.00161199,0.00161199
7,102.194,2.64762,2.24422,0.79408,0.53586,0.52823,0.54837,0.21537,2.68773,2.09287,0.91897,0.00160099,0.00160099,0.00160099
8,116.826,2.4587,1.93896,0.79281,0.71498,0.51297,0.54969,0.16314,2.63204,2.04039,0.93177,0.00158998,0.00158998,0.00158998
9,131.298,2.55047,1.62919,0.76895,0.33564,0.62017,0.41102,0.1271,2.72514,2.05567,0.91206,0.00157898,0.00157898,0.00157898
10,145.847,2.55781,1.42747,0.77192,0.69083,0.64091,0.68044,0.24573,2.5484,1.44608,0.89994,0.00156798,0.00156798,0.00156798
11,160.5,2.29252,1.37326,0.77045,0.51734,0.77607,0.66,0.22386,2.48275,1.68841,0.89148,0.00155698,0.00155698,0.00155698
12,174.718,2.2339,1.15091,0.71066,0.67077,0.74091,0.64303,0.23877,2.49681,1.40435,0.90473,0.00154598,0.00154598,0.00154598
13,189.091,2.24591,1.12762,0.76509,0.70953,0.65987,0.72574,0.31792,2.3587,1.29738,0.87335,0.00153497,0.00153497,0.00153497
14,203.643,2.19193,1.08118,0.72909,0.77784,0.6359,0.72194,0.28757,2.4044,1.34629,0.88381,0.00152397,0.00152397,0.00152397
15,217.831,2.17988,1.09076,0.74256,0.7411,0.75534,0.77779,0.30402,2.40299,1.49389,0.87773,0.00151297,0.00151297,0.00151297
16,232.006,2.20035,1.05233,0.73427,0.77388,0.66265,0.74995,0.30634,2.3632,1.28102,0.88422,0.00150197,0.00150197,0.00150197
17,246.112,2.30199,1.14808,0.74737,0.74118,0.79381,0.81636,0.30954,2.47184,1.29023,0.89949,0.00149096,0.00149096,0.00149096
18,260.393,2.33927,1.13484,0.75683,0.74118,0.73587,0.72833,0.25597,2.35344,1.36451,0.88349,0.00147996,0.00147996,0.00147996
19,274.567,2.07765,0.96765,0.71484,0.67312,0.77751,0.76542,0.30985,2.29111,1.22358,0.88822,0.00146896,0.00146896,0.00146896
20,288.835,2.15895,0.90008,0.73862,0.87531,0.8314,0.83565,0.33038,2.24786,1.23832,0.87578,0.00145796,0.00145796,0.00145796
21,303.366,2.03155,0.95542,0.70747,0.60185,0.66818,0.58945,0.20108,2.63615,1.50204,0.90729,0.00144696,0.00144696,0.00144696
22,317.481,2.01363,0.95787,0.72453,0.73698,0.82727,0.75121,0.28185,2.34331,1.26128,0.88009,0.00143595,0.00143595,0.00143595
23,331.658,2.24241,1.00271,0.72792,0.74644,0.73409,0.68338,0.29642,2.29032,1.3326,0.88405,0.00142495,0.00142495,0.00142495
24,346.135,2.23048,1.051,0.75597,0.65959,0.80848,0.70648,0.26652,2.44568,1.39981,0.88124,0.00141395,0.00141395,0.00141395
25,360.656,2.2207,1.00614,0.76697,0.73796,0.77727,0.73089,0.26553,2.33625,1.28488,0.87866,0.00140295,0.00140295,0.00140295
26,374.858,2.14439,0.96496,0.74559,0.79098,0.72109,0.75164,0.30235,2.38779,1.40968,0.88472,0.00139195,0.00139195,0.00139195
27,389.154,2.07117,0.97079,0.73164,0.65798,0.87273,0.74655,0.29605,2.20249,1.16917,0.86776,0.00138094,0.00138094,0.00138094
28,403.452,1.95256,0.90193,0.70177,0.74392,0.82426,0.74151,0.29109,2.23196,1.39515,0.86993,0.00136994,0.00136994,0.00136994
29,418.044,1.97082,0.94299,0.71032,0.76561,0.85,0.79803,0.32127,2.13236,1.30724,0.86242,0.00135894,0.00135894,0.00135894
