epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2804,2.7435,45.4864,0.78437,0.45374,0.60417,0.44375,0.14475,2.76671,6.29465,0.96222,0.000552545,0.000552545,0.000552545
2,37.9384,2.94349,9.1081,0.82684,0.57348,0.05,0.08437,0.01859,3.22112,5.42071,0.988,0.0011009,0.0011009,0.0011009
3,57.2392,2.74067,6.4459,0.81588,0.50675,0.44592,0.45984,0.12116,2.83583,3.87481,0.951,0.00164192,0.00164192,0.00164192
4,76.0885,2.70103,3.6917,0.79497,0.51097,0.66047,0.56479,0.13884,2.9971,1.97279,0.97233,0.00163399,0.00163399,0.00163399
5,98.0576,2.81841,2.31178,0.84142,0.46531,0.63504,0.4347,0.11592,2.93106,1.82975,0.92832,0.00162299,0.00162299,0.00162299
6,122.062,2.55658,1.79239,0.77413,0.60099,0.69709,0.73408,0.23598,2.60179,1.38005,0.92342,0.00161199,0.00161199,0.00161199
7,147.713,2.62767,1.7455,0.79348,0.65227,0.70266,0.64228,0.20302,2.84205,1.63153,0.94297,0.00160099,0.00160099,0.00160099
8,172.754,2.43831,1.36432,0.74896,0.61196,0.67907,0.64485,0.20855,2.70936,1.62198,0.90807,0.00158998,0.00158998,0.00158998
9,197.546,2.42762,1.29161,0.74768,0.68843,0.78544,0.71211,0.28757,2.40121,1.45121,0.88216,0.00157898,0.00157898,0.00157898
10,221.999,2.56989,1.35182,0.79415,0.70357,0.75414,0.75296,0.24532,2.58447,1.49404,0.89881,0.00156798,0.00156798,0.00156798
11,242.144,2.20544,1.21123,0.73875,0.79237,0.8754,0.8305,0.30189,2.41146,1.32355,0.88718,0.00155698,0.00155698,0.00155698
12,261.313,2.18045,1.12633,0.6994,0.60945,0.6907,0.67692,0.26999,2.35102,1.54297,0.88063,0.00154598,0.00154598,0.00154598
13,279.967,2.32555,1.22184,0.75899,0.8001,0.82908,0.84114,0.32065,2.2035,1.38013,0.86953,0.00153497,0.00153497,0.00153497
14,298.526,2.42097,1.19794,0.74326,0.62789,0.74709,0.729,0.26371,2.54622,1.32604,0.87673,0.00152397,0.00152397,0.00152397
15,316.321,2.10959,1.12032,0.70113,0.82646,0.77775,0.81995,0.34122,2.19586,1.45644,0.86817,0.00151297,0.00151297,0.00151297
16,334.466,2.17138,1.08228,0.71935,0.6539,0.73716,0.71628,0.26671,2.43785,1.30942,0.8787,0.00150197,0.00150197,0.00150197
17,352.486,2.19854,1.00718,0.72278,0.7616,0.80744,0.78414,0.34632,2.28758,1.24772,0.87871,0.00149096,0.00149096,0.00149096
18,370.79,2.09772,0.96209,0.70222,0.7654,0.77209,0.77658,0.343,2.35662,1.28578,0.85903,0.00147996,0.00147996,0.00147996
19,388.763,2.20089,1.05749,0.74415,0.71925,0.77035,0.73121,0.33051,2.31293,1.24032,0.8732,0.00146896,0.00146896,0.00146896
20,408.843,2.32328,1.08145,0.73297,0.72859,0.82035,0.75011,0.31626,2.29371,1.22833,0.86797,0.00145796,0.00145796,0.00145796
21,432.611,2.28643,1.00956,0.75539,0.72623,0.76448,0.73364,0.30791,2.3772,1.31997,0.86765,0.00144696,0.00144696,0.00144696
22,456.164,2.19268,0.98686,0.73277,0.87288,0.73256,0.79618,0.29249,2.26995,1.25717,0.85992,0.00143595,0.00143595,0.00143595
23,479.361,2.23972,1.13282,0.7457,0.79195,0.84709,0.78514,0.29512,2.31342,1.32074,0.87556,0.00142495,0.00142495,0.00142495
24,502.23,2.28637,1.0162,0.75533,0.7617,0.84535,0.7829,0.32208,2.31329,1.24667,0.87191,0.00141395,0.00141395,0.00141395
25,525.213,2.0037,0.96472,0.71966,0.85175,0.86428,0.81034,0.33122,2.21577,1.08192,0.8726,0.00140295,0.00140295,0.00140295
26,548.144,2.13828,1.01088,0.71827,0.80002,0.78574,0.78147,0.27949,2.41161,1.30451,0.87805,0.00139195,0.00139195,0.00139195
27,571.42,2.28824,1.04779,0.72242,0.73687,0.78521,0.72029,0.27869,2.33646,1.19264,0.87538,0.00138094,0.00138094,0.00138094
28,594.675,2.19051,1.03535,0.73667,0.75692,0.76908,0.74987,0.30049,2.49941,1.24446,0.89397,0.00136994,0.00136994,0.00136994
29,617.694,2.22783,0.95555,0.74264,0.78807,0.83372,0.7742,0.33626,2.17028,1.22462,0.86152,0.00135894,0.00135894,0.00135894
30,640.791,2.27464,1.02014,0.77278,0.69256,0.82209,0.72243,0.29215,2.31324,1.27153,0.87662,0.00134794,0.00134794,0.00134794
31,663.662,2.10013,0.88745,0.72588,0.78356,0.84709,0.77143,0.37269,2.04081,1.19905,0.85994,0.00133693,0.00133693,0.00133693
32,687.196,2.12051,0.96825,0.72196,0.79904,0.74709,0.74278,0.23393,2.42095,1.45966,0.87594,0.00132593,0.00132593,0.00132593
33,709.962,2.03177,0.96488,0.68955,0.83794,0.82035,0.77543,0.36221,2.18467,1.26032,0.86675,0.00131493,0.00131493,0.00131493
34,733.219,2.07971,0.98943,0.7631,0.74196,0.75872,0.70604,0.29881,2.46168,1.41184,0.88054,0.00130393,0.00130393,0.00130393
35,756.42,2.25941,0.9492,0.7417,0.8595,0.88117,0.82204,0.35929,2.1652,1.21277,0.87295,0.00129293,0.00129293,0.00129293
36,779.379,2.04927,0.9199,0.71091,0.65045,0.67035,0.6022,0.2258,2.48105,1.45444,0.89032,0.00128192,0.00128192,0.00128192
37,802.438,2.14751,1.00321,0.73658,0.85099,0.88489,0.81676,0.36501,2.09117,1.18281,0.85546,0.00127092,0.00127092,0.00127092
38,825.521,2.03384,0.89663,0.71212,0.82791,0.86047,0.82457,0.31754,2.25316,1.2615,0.86793,0.00125992,0.00125992,0.00125992
39,848.47,2.14622,0.98387,0.70289,0.80699,0.83372,0.82338,0.35607,2.2104,1.15235,0.86473,0.00124892,0.00124892,0.00124892
40,871.517,2.06921,0.90984,0.70307,0.7309,0.70872,0.67067,0.27294,2.51471,1.29384,0.89718,0.00123791,0.00123791,0.00123791
41,894.783,2.09486,0.91235,0.72483,0.80142,0.84709,0.82309,0.36822,2.15438,1.19393,0.86774,0.00122691,0.00122691,0.00122691
42,917.748,2.03769,0.90187,0.71742,0.85224,0.8488,0.84697,0.39459,2.14241,1.15265,0.85914,0.00121591,0.00121591,0.00121591
43,941.5,2.11736,1.01425,0.72835,0.7248,0.73781,0.69404,0.267,2.46754,1.44688,0.89375,0.00120491,0.00120491,0.00120491
44,964.845,2.08797,0.96945,0.72657,0.75844,0.84535,0.79816,0.35544,2.21335,1.13888,0.86755,0.00119391,0.00119391,0.00119391
45,987.967,2.00556,0.91064,0.72815,0.78353,0.77265,0.77089,0.36359,2.17408,1.30209,0.86453,0.0011829,0.0011829,0.0011829
46,1011.05,1.93077,0.90285,0.74807,0.842,0.84535,0.83811,0.41758,1.93669,1.18468,0.85598,0.0011719,0.0011719,0.0011719
