epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3436,2.64,45.3866,0.76607,0.75715,0.25581,0.26194,0.08978,2.65014,5.63059,0.90003,0.000552545,0.000552545,0.000552545
2,47.0988,2.79338,8.88818,0.8094,0.21803,0.26744,0.26464,0.1112,2.71911,3.747,0.90571,0.0011009,0.0011009,0.0011009
3,70.9011,2.54305,4.53637,0.78511,0.52975,0.58524,0.52727,0.19622,2.61999,2.52323,0.92336,0.00164192,0.00164192,0.00164192
4,94.4984,2.70675,3.88502,0.76561,0.21687,0.32442,0.17194,0.03717,3.40779,3.32475,0.98821,0.00163399,0.00163399,0.00163399
5,117.879,2.96992,3.17536,0.81618,0.52043,0.63133,0.67824,0.19907,2.86085,2.01535,0.91225,0.00162299,0.00162299,0.00162299
6,141.597,2.6524,2.02785,0.77238,0.64395,0.74563,0.6919,0.21101,2.84051,1.48614,0.92759,0.00161199,0.00161199,0.00161199
7,165.306,2.63294,1.69443,0.7836,0.64022,0.71047,0.71109,0.1752,2.81688,1.45482,0.93205,0.00160099,0.00160099,0.00160099
8,188.49,2.59592,1.48721,0.78872,0.62498,0.67698,0.72573,0.24676,2.58602,1.57061,0.94289,0.00158998,0.00158998,0.00158998
9,211.935,2.44256,1.28215,0.77127,0.61946,0.81221,0.67867,0.21287,2.82967,1.4493,0.94612,0.00157898,0.00157898,0.00157898
10,235.543,2.59498,1.29726,0.81652,0.69034,0.76221,0.73877,0.28105,2.54907,1.38964,0.91513,0.00156798,0.00156798,0.00156798
11,258.944,2.30178,1.15796,0.75114,0.73868,0.82637,0.74438,0.25356,2.56378,1.37161,0.91091,0.00155698,0.00155698,0.00155698
12,282.044,2.24634,1.139,0.71455,0.68381,0.82765,0.74842,0.24871,2.59002,1.27476,0.89725,0.00154598,0.00154598,0.00154598
13,305.247,2.28166,1.14046,0.75164,0.69885,0.79401,0.71253,0.28909,2.32602,1.3712,0.88183,0.00153497,0.00153497,0.00153497
14,328.908,2.50103,1.07923,0.74382,0.50183,0.62733,0.44611,0.13577,2.77134,1.49847,0.90101,0.00152397,0.00152397,0.00152397
15,351.856,2.24063,1.10089,0.71487,0.81515,0.83228,0.80665,0.31747,2.29839,1.38739,0.86537,0.00151297,0.00151297,0.00151297
16,375.675,2.18071,1.03645,0.71643,0.76416,0.7471,0.71331,0.24481,2.51485,1.45536,0.89472,0.00150197,0.00150197,0.00150197
17,398.414,2.17584,1.05851,0.71867,0.73624,0.74773,0.74913,0.28275,2.43956,1.30883,0.88688,0.00149096,0.00149096,0.00149096
18,420.842,2.08508,0.94597,0.70295,0.68685,0.72384,0.6671,0.2777,2.45466,1.29472,0.89648,0.00147996,0.00147996,0.00147996
19,443.592,2.26961,1.03314,0.74734,0.65897,0.72692,0.67189,0.26577,2.47818,1.43833,0.88681,0.00146896,0.00146896,0.00146896
20,466.259,2.40094,1.09519,0.73303,0.72197,0.78159,0.71377,0.26535,2.53743,1.33845,0.88377,0.00145796,0.00145796,0.00145796
21,488.995,2.2406,1.01254,0.74133,0.7559,0.82035,0.79586,0.31834,2.31763,1.32312,0.88149,0.00144696,0.00144696,0.00144696
22,512.173,2.11782,0.92113,0.72519,0.81843,0.82115,0.82193,0.35993,2.192,1.16521,0.88557,0.00143595,0.00143595,0.00143595
23,535.175,2.27781,1.08525,0.74935,0.78523,0.70196,0.77419,0.34006,2.18057,1.40542,0.86416,0.00142495,0.00142495,0.00142495
24,558.094,2.16744,1.02579,0.73339,0.7509,0.79579,0.75707,0.34725,2.13867,1.24179,0.86331,0.00141395,0.00141395,0.00141395
25,580.676,1.95747,0.93167,0.70601,0.83422,0.84028,0.83434,0.37245,2.17085,1.11137,0.86397,0.00140295,0.00140295,0.00140295
26,603.817,2.15871,0.95498,0.72566,0.76857,0.73547,0.73019,0.32344,2.32932,1.21392,0.89513,0.00139195,0.00139195,0.00139195
27,626.474,2.2237,1.11196,0.7117,0.68513,0.75647,0.70449,0.30899,2.31799,1.36106,0.87802,0.00138094,0.00138094,0.00138094
28,649.104,2.13606,1.02897,0.72589,0.76407,0.77868,0.75259,0.31039,2.26626,1.24861,0.87993,0.00136994,0.00136994,0.00136994
29,671.55,2.06477,0.88699,0.72997,0.78463,0.81016,0.75994,0.29195,2.41335,1.19588,0.8799,0.00135894,0.00135894,0.00135894
30,694.376,2.21418,1.07706,0.76385,0.77446,0.78547,0.6915,0.25582,2.45416,1.22285,0.88401,0.00134794,0.00134794,0.00134794
31,716.966,2.09334,0.93734,0.72715,0.77122,0.8373,0.83797,0.33026,2.22146,1.21315,0.86275,0.00133693,0.00133693,0.00133693
32,739.551,2.18417,1.00718,0.71777,0.82516,0.80872,0.84744,0.35175,2.18495,1.181,0.85737,0.00132593,0.00132593,0.00132593
33,762.006,2.10184,0.89955,0.69053,0.86227,0.74709,0.78481,0.32611,2.25934,1.22755,0.87079,0.00131493,0.00131493,0.00131493
34,784.683,2.05581,0.94851,0.76481,0.82101,0.83249,0.83211,0.31463,2.26052,1.17727,0.86778,0.00130393,0.00130393,0.00130393
35,807.359,2.15055,0.92092,0.72125,0.86091,0.84638,0.85042,0.38141,2.16803,1.13376,0.85345,0.00129293,0.00129293,0.00129293
36,830.339,2.08523,0.88751,0.71459,0.7644,0.76633,0.75344,0.27932,2.48352,1.26832,0.9029,0.00128192,0.00128192,0.00128192
37,853.127,2.10757,0.90521,0.73861,0.81343,0.86869,0.82246,0.3338,2.23688,1.08489,0.86148,0.00127092,0.00127092,0.00127092
38,875.937,2.07078,0.87979,0.70622,0.75511,0.73721,0.72871,0.31134,2.1912,1.26229,0.86645,0.00125992,0.00125992,0.00125992
39,898.77,2.07025,0.88139,0.69737,0.81841,0.85876,0.83171,0.35429,2.17953,1.14685,0.86122,0.00124892,0.00124892,0.00124892
40,921.46,2.08913,0.85512,0.70563,0.77988,0.81407,0.78774,0.32201,2.28557,1.21807,0.87647,0.00123791,0.00123791,0.00123791
41,944.463,1.96141,0.82119,0.71106,0.82773,0.85481,0.84443,0.36742,2.14199,1.21227,0.85753,0.00122691,0.00122691,0.00122691
42,966.971,1.95356,0.84624,0.7057,0.82871,0.88198,0.84792,0.36773,2.22274,1.21113,0.85642,0.00121591,0.00121591,0.00121591
43,989.644,2.07567,0.88419,0.71877,0.7763,0.79709,0.76411,0.31249,2.37847,1.24431,0.87805,0.00120491,0.00120491,0.00120491
44,1012.42,1.98461,0.88119,0.72081,0.70621,0.79312,0.73649,0.31032,2.43725,1.21921,0.88198,0.00119391,0.00119391,0.00119391
45,1035.35,1.94446,0.90317,0.71863,0.72448,0.80648,0.73548,0.30498,2.32,1.26118,0.87064,0.0011829,0.0011829,0.0011829
46,1058.03,1.97251,0.87089,0.73331,0.75168,0.79535,0.73143,0.34625,2.37458,1.27131,0.87695,0.0011719,0.0011719,0.0011719
47,1080.81,2.02563,0.86041,0.70809,0.75433,0.77035,0.74238,0.3249,2.39526,1.35977,0.88962,0.0011609,0.0011609,0.0011609
48,1103.39,1.90895,0.83272,0.72914,0.86062,0.86419,0.81327,0.39231,2.14379,1.13471,0.8627,0.0011499,0.0011499,0.0011499
49,1126.52,1.83974,0.78933,0.69286,0.80486,0.80872,0.76327,0.37738,2.13272,1.13215,0.85676,0.00113889,0.00113889,0.00113889
50,1149.33,1.87834,0.77165,0.71802,0.85961,0.87661,0.81402,0.39443,2.10645,1.08295,0.85513,0.00112789,0.00112789,0.00112789
51,1172.31,1.90265,0.7958,0.69035,0.85611,0.85872,0.85249,0.39705,2.17237,1.06531,0.86802,0.00111689,0.00111689,0.00111689
52,1195.16,1.92064,0.84597,0.71653,0.79173,0.81925,0.79374,0.33768,2.26088,1.14955,0.87706,0.00110589,0.00110589,0.00110589
