epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.229,2.79066,73.7679,0.80433,0.43745,0.45675,0.39097,0.08798,3.06566,9.19668,1.07325,0.00055164,0.00055164,0.00055164
2,38.315,2.7442,14.5686,0.81751,0.87113,0.0814,0.25792,0.09505,2.76574,5.687,0.91544,0.0011,0.0011,0.0011
3,54.1703,2.67909,8.75319,0.79765,0.63262,0.25,0.2417,0.07749,2.73933,3.68034,0.92954,0.00164102,0.00164102,0.00164102
4,72.2158,2.72603,5.44776,0.80123,0.24398,0.68081,0.30965,0.08526,3.15135,3.72007,1.00593,0.00163399,0.00163399,0.00163399
5,90.3765,2.7124,3.6733,0.77911,0.26352,0.52965,0.36604,0.09199,2.99436,2.38149,0.96674,0.00162299,0.00162299,0.00162299
6,108.414,2.81669,2.58831,0.80276,0.69834,0.56744,0.63712,0.21084,2.74755,1.90833,0.93406,0.00161199,0.00161199,0.00161199
7,127.123,2.64762,2.24422,0.79408,0.53586,0.53063,0.54928,0.22375,2.65721,2.09326,0.91329,0.00160099,0.00160099,0.00160099
8,145.671,2.4587,1.93896,0.79281,0.71498,0.51817,0.54848,0.16804,2.6196,2.04235,0.93026,0.00158998,0.00158998,0.00158998
9,163.775,2.55047,1.62919,0.76895,0.36121,0.64925,0.44702,0.13312,2.73216,2.06102,0.91093,0.00157898,0.00157898,0.00157898
10,181.988,2.55781,1.42747,0.77192,0.7037,0.66047,0.69361,0.25467,2.54722,1.44275,0.8961,0.00156798,0.00156798,0.00156798
11,200.499,2.29252,1.37326,0.77045,0.51733,0.78185,0.66306,0.22349,2.49554,1.6898,0.89023,0.00155698,0.00155698,0.00155698
12,218.349,2.2339,1.15091,0.71066,0.67763,0.76047,0.65457,0.23727,2.49857,1.40978,0.90408,0.00154598,0.00154598,0.00154598
13,236.287,2.24591,1.12762,0.76509,0.72331,0.6787,0.74043,0.31654,2.36352,1.29916,0.87244,0.00153497,0.00153497,0.00153497
14,255.163,2.19193,1.08118,0.72909,0.7949,0.65307,0.73882,0.29948,2.37693,1.34093,0.87901,0.00152397,0.00152397,0.00152397
15,273.544,2.17988,1.09076,0.74256,0.73665,0.76395,0.78803,0.30787,2.3915,1.49349,0.87391,0.00151297,0.00151297,0.00151297
16,291.956,2.20035,1.05233,0.73427,0.71019,0.72209,0.77315,0.31023,2.36742,1.2917,0.88288,0.00150197,0.00150197,0.00150197
17,310.501,2.30199,1.14808,0.74737,0.75622,0.81343,0.83983,0.3202,2.46255,1.29036,0.89439,0.00149096,0.00149096,0.00149096
18,329.683,2.33927,1.13484,0.75683,0.75654,0.75531,0.74667,0.25957,2.35094,1.36713,0.88246,0.00147996,0.00147996,0.00147996
19,348.177,2.07765,0.96765,0.71484,0.67312,0.78596,0.77147,0.30985,2.27606,1.22744,0.88689,0.00146896,0.00146896,0.00146896
20,366.758,2.15895,0.90008,0.73862,0.87531,0.83984,0.83594,0.33784,2.21313,1.23892,0.87262,0.00145796,0.00145796,0.00145796
